name,url,institutions
René Cutura,René Cutura,"['University of Stuttgart', 'Vienna University of Technology', 'University of Vienna']"
Cristina Morariu,Cristina Morariu,['University of Stuttgart']
Zhanglin Cheng,Zhanglin Cheng,['Shenzhen Institute of Advanced Technology']
Yunhai Wang,Yunhai Wang,"['Shandong University', 'Shenzhen Institute of Advanced Technology']"
Daniel Weiskopf,Daniel Weiskopf,"['University of Stuttgart', 'Simon Fraser University', 'IEEE', 'University of Tübingen']"
Michael Sedlmair,Michael Sedlmair,"['University of Stuttgart', 'Jacobs University Bremen', 'University of Vienna', 'The University of British Columbia', '+ 2']"
Takayuki Itoh,Takayuki Itoh,"['Ochanomizu University', 'IBM Japan, Ltd.']"
Asuka Nakabayashi,Asuka Nakabayashi,['Ochanomizu University']
Mariko Hagita,Mariko Hagita,"['Ochanomizu University', 'Keio University']"
Maath Musleh,Maath Musleh,[]
Angelos Chatzimparmpas,Angelos Chatzimparmpas,"['Linnaeus University, Växjö', 'University of Western Macedonia']"
Ilir Jusufi,Ilir Jusufi,"['Linnaeus University, Kalmar', 'Linnaeus University, Växjö', 'University of California, Davis']"
Alexander Achberger,Alexander Achberger,"['Mercedes Benz Cars', 'University of Stuttgart']"
Frank Heyen,Frank Heyen,['University of Stuttgart']
Kresimir Vidakovic,Kresimir Vidakovic,['Stuttgart Media University']
Martin Büßemeyer,Martin Büßemeyer,['Hasso Plattner Institute for Digital Engineering gGmbH']
Daniel Limberger,Daniel Limberger,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']"
Willy Scheibel,Willy Scheibel,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']"
Jürgen Döllner,Jürgen Döllner,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam', 'University of Münster']"
Jan van Dieken,Jan van Dieken,['Hasso Plattner Institute for Digital Engineering gGmbH']
Ayush Kumar,Ayush Kumar,"['Harvard Medical School', 'Stony Brook University']"
Bharat Goel,Bharat Goel,['Stony Brook University']
Keshav Rajupet Premkumar,Keshav Rajupet Premkumar,['Stony Brook University']
Michael Burch,Michael Burch,"['University of Applied Sciences Western Switzerland', 'Eindhoven University of Technology', '+ 4']"
Klaus D Mueller,Klaus D Mueller,"['Stony Brook University', 'IEEE', 'The Ohio State University']"
Lauren Edlin,Lauren Edlin,['Queen Mary University of London']
Joshua D Reiss,Joshua D Reiss,"['Queen Mary University of London', 'University of London']"
Cameron Edmond,Cameron Edmond,['UNSW Sydney']
Robert Lawther,Robert Lawther,['UNSW Sydney']
Maxime Cordeil,Maxime Cordeil,"['Monash University', 'The University of Queensland', 'Federal University of Toulouse Midi-Pyrénées', '+ 1']"
Tomasz P Bednarz,Tomasz P Bednarz,"['Epicentre', 'UNSW Sydney', 'CSIRO Data61', 'ARC Centre of Excellence for Mathematical & Statistical Frontiers', '+ 2']"
Miguel Alfonso Feijóo-García,Miguel Alfonso Feijóo-García,['Universidad El Bosque']
José Tiberio Hernández-Peñalosa,José Tiberio Hernández-Peñalosa,"['University of the Andes, Colombia']"
Christina Stoiber,Christina Stoiber,[]
Conny Walchshofer,Conny Walchshofer,['Johannes Kepler University Linz']
Florian Grassinger,Florian Grassinger,[]
Holger Stitz,Holger Stitz,"['Johannes Kepler University Linz', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media']"
Marc Streit,Marc Streit,"['Johannes Kepler University Linz', 'Harvard Medical School', 'Graz University of Technology']"
Wolfgang Aigner,Wolfgang Aigner,"['St. Polten University of Applied Sciences', 'Vienna University of Technology']"
Akshay Murari,Akshay Murari,['The University of North Carolina at Charlotte']
Elias Mahfoud,Elias Mahfoud,['The University of North Carolina at Charlotte']
Weichao Wang,Weichao Wang,['The University of North Carolina at Charlotte']
Aidong Lu,Aidong Lu,"['The University of North Carolina at Charlotte', 'The University of North Carolina System', 'Purdue University', 'IEEE']"
Hinako Sassa,Hinako Sassa,['Ochanomizu University']
Mitsuo Yoshida,Mitsuo Yoshida,['Toyohashi University of Technology']
Oliver Moseler,Oliver Moseler,['University of Trier']
Lucas Kreber,Lucas Kreber,['University of Trier']
Stephan Diehl,Stephan Diehl,"['University of Trier', 'Catholic University in Eichstätt', 'Saarland University']"
Chen He,Chen He,['University of Helsinki']
Luana Micallef,Luana Micallef,"['University of Copenhagen', 'Aalto University', 'INRIA Institut National de Recherche en Informatique et en Automatique', 'University of Kent']"
Barış Serim,Barış Serim,"['University of Helsinki', 'Helsinki Institute for Information Technology', 'Koc University']"
Tung Vuong,Tung Vuong,['University of Helsinki']
Tuukka Ruotsalo,Tuukka Ruotsalo,"['University of Helsinki', 'University of Copenhagen', 'Aalto University']"
Giulio Iacucci,Giulio Iacucci,"['University of Helsinki', 'Aalto University', 'Helsinki Institute for Information Technology', 'University of Oulu']"
Günter Wallner,Günter Wallner,"['Johannes Kepler University Linz', 'University of Applied Sciences Western Switzerland', '+ 3']"
Huub M M van de Wetering,Huub M M van de Wetering,"['Eindhoven University of Technology', ""Xi'an Jiaotong University""]"
Freek Rooks,Freek Rooks,['Eindhoven University of Technology']
Olof Morra,Olof Morra,['Eindhoven University of Technology']
Gonzalo Gabriel Méndez,Gonzalo Gabriel Méndez,"['Litoral Polytechnic School', 'University of Calgary', 'University of St Andrews']"
Oscar Moreno,Oscar Moreno,['Litoral Polytechnic School']
Daniel Atzberger,Daniel Atzberger,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']"
Patricio Mendoza,Patricio Mendoza,['Litoral Polytechnic School']
Sebastian Eckl,Sebastian Eckl,['Reutlingen University']
Nick Kerschagel,Nick Kerschagel,['Reutlingen University']
Uwe Kloos,Uwe Kloos,"['Reutlingen University', 'University of Applied Sciences of the Grisons', 'University of Stuttgart']"
Maitreya Save,Maitreya Save,['NC State University']
Benjamin Allen Watson,Benjamin Allen Watson,"['NC State University', 'IEEE', 'Northwestern University', 'University of Alberta', 'Georgia Institute of Technology']"
Dong Li,Dong Li,['East China Normal University']
Hong Yin,Hong Yin,['East China Normal University']
Changbo Wang,Changbo Wang,"['East China Normal University', 'Shanghai University', 'State Key Lab of CAD&CG, Zhejiang University']"
Sicheng Song,Sicheng Song,['East China Normal University']
Kirlin Li,Kirlin Li,['East China Normal University']
Chenhui Li,Chenhui Li,"['East China Normal University', 'Hong Kong Polytechnic University']"
Qiaorui Chen,Qiaorui Chen,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']"
Shuai Zhang,Shuai Zhang,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']"
Yao Zheng,Yao Zheng,"['Zhejiang University', 'School of Aeronautics and Astronautics, Zhejiang University', 'School of Computer and Computing Science']"
Marco Schmid,Marco Schmid,[]
Rahel Haymoz,Rahel Haymoz,['University of Applied Sciences Western Switzerland']
David Schiller,David Schiller,[]
Carolin Fiedler,Carolin Fiedler,['University of Potsdam']
Matthias Trapp,Matthias Trapp,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']"
Nico Klaassen,Nico Klaassen,['Eindhoven University of Technology']
Haoran Dai,Haoran Dai,"['State Key Lab of CAD&CG, Zhejiang University']"
Yubo Tao,Yubo Tao,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Hai Lin,Hai Lin,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University', 'Fudan University']"
Hao Tang,Hao Tang,['Hangzhou Dianzi University']
Sixiang Fei,Sixiang Fei,['Hangzhou Dianzi University']
Xiaoying Shi,Xiaoying Shi,['Hangzhou Dianzi University']
Hanbyul Yeon,Hanbyul Yeon,['Sejong University']
Mingyu Pi,Mingyu Pi,['Sejong University']
Hyesook Son,Hyesook Son,['Sejong University']
Yun Jang,Yun Jang,"['Sejong University', 'Swiss Federal Institute of Technology, Zurich', 'Purdue University']"
Rohan Goel,Rohan Goel,"['Birla Institute of Technology and Science, Pilani']"
Samiha Fadloun,Samiha Fadloun,['University of Montpellier']
Sarah Valentin,Sarah Valentin,['University of Montpellier']
Arnaud Sallaberry,Arnaud Sallaberry,"['University of Montpellier', 'Universite Paul-Valery Montpellier III', 'University of California, Davis', '+ 3']"
Mathieu Roche,Mathieu Roche,"['Territoires, Environnement, Télédétection et Information Spatiale', 'University of Montpellier', 'CIRAD', '+ 4']"
Pascal Poncelet,Pascal Poncelet,"['University of Montpellier', '+ 4']"
Humphrey O Obie,Humphrey O Obie,"['Monash University', 'Swinburne University of Technology']"
Caslon Chua,Caslon Chua,['Swinburne University of Technology']
Iman Avazpour,Iman Avazpour,"['Deakin University', 'Swinburne University of Technology']"
Mohamed Almorsy Abdelrazek,Mohamed Almorsy Abdelrazek,['Deakin University']
John C. Grundy,John C. Grundy,"['Monash University', 'Deakin University', 'Swinburne University of Technology', 'The University of Auckland', '+ 1']"
Yaru Du,Yaru Du,[]
Liang Zhou,Liang Zhou,"['The University of Utah', 'University of Stuttgart']"
Hansjörg Schmauder,Hansjörg Schmauder,['University of Stuttgart']
Xiaoyu Wang,Xiaoyu Wang,['The University of Texas at Dallas']
Yufeng Liu,Yufeng Liu,['Hohai University']
Jie Li,Jie Li,"['Tianjin University', 'Nanjing University']"
K. Zhang,K. Zhang,"['The University of Texas at Dallas', 'Tianjin University', 'IEEE']"
Daniil Rodin,Daniil Rodin,['Technion - Israel Institute of Technology']
Gershon Elber,Gershon Elber,"['Technion - Israel Institute of Technology', 'IEEE', 'The University of Utah']"
Mehmood Ghaffar,Mehmood Ghaffar,['Bielefeld University']
Niklas Biere,Niklas Biere,['Bielefeld University']
Daniel Jäger,Daniel Jäger,['Bielefeld University']
Karsten Klein,Karsten Klein,"['Monash University', 'University of Konstanz', 'The University of Sydney', 'Technical University Dortmund', '+ 1']"
Falk Schreiber,Falk Schreiber,"['University of Konstanz', 'Monash University', 'Martin Luther University of Halle-Wittenberg', '+ 2']"
Olaf Kruse,Olaf Kruse,['Bielefeld University']
Björn Sommer,Björn Sommer,"['Royal College of Art', 'University of Konstanz', 'Monash University', 'Bielefeld University']"
Luca Marzialetti,Luca Marzialetti,['Roma Tre University']
Massimo Candela,Massimo Candela,['University of Pisa']
Giuseppe Di Battista,Giuseppe Di Battista,"['Roma Tre University', 'Basilicata University Potenza', 'Sapienza University of Rome']"
Gerald Baulig,Gerald Baulig,[]
Tobias Boley,Tobias Boley,[]
Arjana Mehmeti,Arjana Mehmeti,[]
Dina Kurbanismailova,Dina Kurbanismailova,[]
Marc Roswag,Marc Roswag,[]
Oliver Streicher,Oliver Streicher,[]
Steffen Wittig,Steffen Wittig,[]
Nico Reski,Nico Reski,"['Linnaeus University, Växjö']"
Aris Alissandrakis,Aris Alissandrakis,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Hertfordshire']"
Kostiantyn Kucher,Kostiantyn Kucher,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Rafael Messias Martins,Rafael Messias Martins,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Andreas Kerren,Andreas Kerren,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Kaiserslautern', 'Vienna University of Technology', '+ 1']"
Maria Skeppstedt,Maria Skeppstedt,"['University of Potsdam', 'Stockholm University']"
Alisa Lincke,Alisa Lincke,"['Linnaeus University, Växjö']"
Jenny Lundberg,Jenny Lundberg,['Blekinge Institute of Technology']
Maria Thunander,Maria Thunander,['Lund University']
Marcelo Milrad,Marcelo Milrad,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Jonas Lundberg,Jonas Lundberg,"['Linköping University', 'Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Daniel Toll,Daniel Toll,"['Linnaeus University, Kalmar']"
Anna Wingkvist,Anna Wingkvist,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Tomohiro Kawanabe,Tomohiro Kawanabe,['Riken']
Jorji Nonaka,Jorji Nonaka,"['Riken', 'Kyoto University']"
Kenji Ono,Kenji Ono,"['Kyushu University', 'Riken', 'Toshiba Corporation']"
Tu Xing,Tu Xing,['Shenzhen University']
Anna Sara Fagerholm,Anna Sara Fagerholm,['Mid Sweden University']
Mattias Andersson,Mattias Andersson,['Mid Sweden University']
Björn Zimmer,Björn Zimmer,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Linnaeus University, Växjö', 'Hannover University of Applied Sciences']"
Jan Zenisek,Jan Zenisek,"['University of Applied Sciences Upper Austria, Wels', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'University of Applied Sciences Upper Austria, School of Management']"
Hans-Christian Jetter,Hans-Christian Jetter,"['University of Lübeck', '+ 4']"
Hyunwoo Han,Hyunwoo Han,['Ajou University']
Taerin Yoon,Taerin Yoon,['Ajou University']
Hyeonsik Gong,Hyeonsik Gong,['Ajou University']
Kyungwon Lee,Kyungwon Lee,['Ajou University']
Zana Vosough,Zana Vosough,"['SAP AG', 'Technische Universität Dresden']"
Dietrich Kammer,Dietrich Kammer,"['Dresden University of Applied Sciences', 'Technische Universität Dresden']"
Mandy Keck,Mandy Keck,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Technische Universität Dresden']"
Rainer Groh,Rainer Groh,['Technische Universität Dresden']
Fangfang Zhou,Fangfang Zhou,['Central South University']
Minghui Chen,Minghui Chen,['Central South University']
Zeyu Wang,Zeyu Wang,['Central South University']
Feng Luo,Feng Luo,['Central South University']
Xiaobo Luo,Xiaobo Luo,['Central South University']
Wei Huang,Wei Huang,['Central South University']
Yi Chen,Yi Chen,['Beijing Technology and Business University']
Ying Zhao,Ying Zhao,['Central South University']
Yang Zou,Yang Zou,['Hohai University']
Xiaoqin Zeng,Xiaoqin Zeng,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']"
Huiyi Liu,Huiyi Liu,['Hohai University']
Yuhua Liu,Yuhua Liu,"['East China Normal University', 'Shanghai University']"
Hanfei Lin,Hanfei Lin,['East China Normal University']
Yitao Liang,Yitao Liang,['East China Normal University']
Sangbong Yoo,Sangbong Yoo,['Sejong University']
Hongryeol Ryu,Hongryeol Ryu,['Yonsei University']
Taekyoung ‘Taekyoung’ Kwon,Taekyoung ‘Taekyoung’ Kwon,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']"
Nils Rodrigues,Nils Rodrigues,['University of Stuttgart']
Rudolf Netzel,Rudolf Netzel,['University of Stuttgart']
Kazi Riaz Ullah,Kazi Riaz Ullah,['University of Stuttgart']
Alexander Schultz,Alexander Schultz,['Fraunhofer Institute for Solar Energy Systems ISE']
Bruno Burger,Bruno Burger,['Fraunhofer Institute for Solar Energy Systems ISE']
Daniel Weiskopf,Daniel Weiskopf,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']"
Kumaripaba Athukorala,Kumaripaba Athukorala,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']"
Chao An,Chao An,"['University of Helsinki', 'Aalto University']"
Aki Reijonen,Aki Reijonen,"['University of Helsinki', 'Helsinki Institute for Information Technology']"
Jaakko Peltonen,Jaakko Peltonen,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']"
Christian Bors,Christian Bors,['Vienna University of Technology']
