c1,c2,value
australia,australia,16
saudi arabia,saudi arabia,1
saudi arabia,australia,1
united states,united states,24
united states,china,6
united states,australia,1
china,china,55
china,australia,4
germany,germany,2
spain,spain,1
malaysia,malaysia,3
france,france,2
australia,china,3
,,2
united kingdom,united kingdom,5
canada,canada,2
japan,japan,5
,united states,1
china,united states,3
australia,united states,1
italy,italy,4
italy,japan,1
italy,australia,1
italy,united kingdom,1
united states,united kingdom,1
sweden,sweden,1
