e1,e2,value
australia,australia,28
saudi arabia,australia,1
united states,hong kong,1
united states,australia,1
hong kong,australia,1
germany,germany,8
china,china,54
china,australia,3
spain,spain,1
malaysia,malaysia,4
france,france,3
united states,united states,18
australia,china,4
canada,canada,3
japan,japan,22
,united states,1
,,1
china,united states,7
hong kong,hong kong,2
united states,china,5
australia,united states,2
italy,japan,1
italy,australia,2
china,hong kong,2
italy,italy,4
italy,united kingdom,1
united kingdom,united kingdom,3
united states,united kingdom,1
russian federation,russian federation,1
australia,canada,1
canada,united states,1
india,india,5
new zealand,new zealand,1
sri lanka,malaysia,4
sri lanka,sri lanka,1
south korea,south korea,2
taiwan,taiwan,2
malaysia,new zealand,1
japan,australia,1
japan,france,1
