author_id,author_name,coauthor_id,coauthor_name,self_citation,paper_doi,paper_title,parent_doi,parent_title
109,K. Zhang,324,Lu Xiong,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
109,K. Zhang,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
202,Yihang Bo,324,Lu Xiong,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
202,Yihang Bo,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
203,Yi Yang,324,Lu Xiong,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
203,Yi Yang,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/2968220.2968232,Generation of Miros Surrealism.
109,K. Zhang,228,Jiajing Zhang,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
109,K. Zhang,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
109,K. Zhang,229,Ren Peng,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
109,K. Zhang,230,Jinhui Yu,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
202,Yihang Bo,228,Jiajing Zhang,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
202,Yihang Bo,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
202,Yihang Bo,229,Ren Peng,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
202,Yihang Bo,230,Jinhui Yu,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
203,Yi Yang,228,Jiajing Zhang,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
203,Yi Yang,109,K. Zhang,True,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
203,Yi Yang,229,Ren Peng,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
203,Yi Yang,230,Jinhui Yu,False,10.1145/3105971.3108444,Towards a design generation methodology,10.1145/3105971.3105974,Computer-aided generation of mandala thangka patterns
200,Robert P. Biuk-Aghai,294,Muye Yang,False,10.1145/3105971.3105976,Map-like visualisations vs. treemaps: an experimental comparison,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation.
200,Robert P. Biuk-Aghai,200,Robert P. Biuk-Aghai,True,10.1145/3105971.3105976,Map-like visualisations vs. treemaps: an experimental comparison,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation.
237,Patrick Cheong-Iao Pang,294,Muye Yang,False,10.1145/3105971.3105976,Map-like visualisations vs. treemaps: an experimental comparison,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation.
237,Patrick Cheong-Iao Pang,200,Robert P. Biuk-Aghai,True,10.1145/3105971.3105976,Map-like visualisations vs. treemaps: an experimental comparison,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation.
