author_id,author_name,coauthor_id,coauthor_name,value,is_vinci
109,K. Zhang,324,Lu Xiong,1,True
202,Yihang Bo,324,Lu Xiong,1,True
202,Yihang Bo,109,K. Zhang,1,True
203,Yi Yang,324,Lu Xiong,1,True
203,Yi Yang,109,K. Zhang,1,True
109,K. Zhang,228,Jiajing Zhang,1,True
109,K. Zhang,229,Ren Peng,1,True
109,K. Zhang,230,Jinhui Yu,1,True
202,Yihang Bo,228,Jiajing Zhang,1,True
202,Yihang Bo,229,Ren Peng,1,True
202,Yihang Bo,230,Jinhui Yu,1,True
203,Yi Yang,228,Jiajing Zhang,1,True
203,Yi Yang,229,Ren Peng,1,True
203,Yi Yang,230,Jinhui Yu,1,True
200,Robert P. Biuk-Aghai,294,Muye Yang,1,True
237,Patrick Cheong-Iao Pang,294,Muye Yang,1,True
237,Patrick Cheong-Iao Pang,200,Robert P. Biuk-Aghai,1,True
238,Bin Pang,294,Muye Yang,1,True
238,Bin Pang,200,Robert P. Biuk-Aghai,1,True
200,Robert P. Biuk-Aghai,237,Patrick Cheong-Iao Pang,1,True
238,Bin Pang,237,Patrick Cheong-Iao Pang,1,True
239,Dominique Tranquille,250,Andrew Blake,1,True
239,Dominique Tranquille,240,Gem Stapleton,1,True
239,Dominique Tranquille,242,Peter J Rodgers,1,True
239,Dominique Tranquille,463,John Howse,1,True
240,Gem Stapleton,250,Andrew Blake,1,True
240,Gem Stapleton,242,Peter J Rodgers,1,True
240,Gem Stapleton,463,John Howse,1,True
241,Jim Burton,250,Andrew Blake,1,True
241,Jim Burton,240,Gem Stapleton,1,True
241,Jim Burton,242,Peter J Rodgers,1,True
241,Jim Burton,463,John Howse,1,True
242,Peter J Rodgers,250,Andrew Blake,1,True
242,Peter J Rodgers,240,Gem Stapleton,1,True
242,Peter J Rodgers,463,John Howse,1,True
237,Patrick Cheong-Iao Pang,549,Waihou Ao,1,True
200,Robert P. Biuk-Aghai,549,Waihou Ao,1,True
294,Muye Yang,200,Robert P. Biuk-Aghai,1,True
294,Muye Yang,549,Waihou Ao,1,True
315,Wenqian Ji,435,Andrew S Brunker,1,True
315,Wenqian Ji,273,Quang Vinh Nguyen,1,True
315,Wenqian Ji,436,Anthony J Maeder,1,True
315,Wenqian Ji,437,Rhys Tague,1,True
315,Wenqian Ji,438,Gregory S Kolt,1,True
315,Wenqian Ji,439,Trevor N Savage,1,True
315,Wenqian Ji,440,Corneel Vandelanotte,1,True
315,Wenqian Ji,441,Mitch J Duncan,1,True
315,Wenqian Ji,442,Cristina M Caperchione,1,True
315,Wenqian Ji,443,Richard R Rosenkranz,1,True
315,Wenqian Ji,444,Anetta Van Itallie,1,True
