id,type,title,year,pagination,conference

CuturaMCWWS21,Conference and Workshop Papers,Hagrid - Gridify Scatterplots with Hilbert and Gosper Curves.,2021,1:1-1:8,vinci_2021

ItohNH21,Conference and Workshop Papers,Scatterplot Selection Applying a Graph Coloring Algorithm.,2021,2:1-2:6,vinci_2021

MuslehCJ21,Conference and Workshop Papers,Visual Analysis of Industrial Multivariate Time Series.,2021,3:1-3:5,vinci_2021

AchbergerHVS21,Conference and Workshop Papers,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device.",2021,4:1-4:8,vinci_2021

BussemeyerLSD21,Conference and Workshop Papers,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies.",2021,5:1-5:5,vinci_2021

LimbergerSDD21,Conference and Workshop Papers,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions.,2021,6:1-6:5,vinci_2021

0004GPBM21,Conference and Workshop Papers,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis.,2021,7:1-7:5,vinci_2021

EdlinR21,Conference and Workshop Papers,An empirically-based spatial segmentation and coreference annotation scheme for comics.,2021,8:1-8:8,vinci_2021

EdmondLCB21,Conference and Workshop Papers,RST as Narrative Structure for Node-Based Editors.,2021,9:1-9:5,vinci_2021

Feijoo-GarciaH21,Conference and Workshop Papers,SPLORT: Evaluation of a Web-based Approach for Descriptive and Exploratory Analysis of Multivariate Spatio-temporal Data.,2021,10:1-10:5,vinci_2021

StoiberWGSSA21,Conference and Workshop Papers,Design and Comparative Evaluation of Visualization Onboarding Methods.,2021,11:1-11:5,vinci_2021

MurariMWL21,Conference and Workshop Papers,Cross-Platform Immersive Visualization and Navigation with Augmented Reality.,2021,12:1-12:9,vinci_2021

SassaC0I21,Conference and Workshop Papers,Visual Linking of Feature Values in Immersive Graph Visualization Environment.,2021,13:1-13:6,vinci_2021

MoselerK021,Conference and Workshop Papers,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs.,2021,14:1-14:8,vinci_2021

0003MSVRJ21,Conference and Workshop Papers,Interactive Visual Facets to Support Fluid Exploratory Search.,2021,15:1-15:10,vinci_2021

BurchWWRM21,Conference and Workshop Papers,Visual Analysis of Graph Algorithm Dynamics.,2021,16:1-16:5,vinci_2021

MendezM21,Conference and Workshop Papers,Enabling Comparative Analysis of Election Data in Ecuador.,2021,17:1-17:2,vinci_2021

AtzbergerSLD21,Conference and Workshop Papers,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor.,2021,18:1-18:2,vinci_2021

MendezM21a,Conference and Workshop Papers,Using Scrollytelling to Explain Voting Power in Ecuador.,2021,19:1-19:2,vinci_2021

EcklKK21,Conference and Workshop Papers,A Web-Based Tool for analysing Formula 1 Races and Seasons.,2021,20:1-20:5,vinci_2021

SaveW21,Conference and Workshop Papers,POEM: People-Oriented EMail for Social Connectedness.,2021,21:1-21:5,vinci_2021

LiYWSLL21,Conference and Workshop Papers,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation.,2021,22:1-22:8,vinci_2021

ChenZZ21,Conference and Workshop Papers,Particle pre-processing for particle-based fluid surface reconstruction.,2021,23:1-23:7,vinci_2021

SchmidHSB21,Conference and Workshop Papers,Identifying Correlation Patterns in Large Educational Data Sources.,2021,24:1-24:5,vinci_2021

ScheibelLD20,Conference and Workshop Papers,Survey of treemap layout algorithms.,2020,1:1-1:9,vinci_2020

FiedlerSLTD20,Conference and Workshop Papers,Survey on user studies on the effectiveness of treemaps.,2020,2:1-2:10,vinci_2020

BurchWK20,Conference and Workshop Papers,Multiple linked perspectives on hierarchical data.,2020,3:1-3:8,vinci_2020

CollarisW20,Conference and Workshop Papers,Machine learning interpretability through contribution-value plots.,2020,4:1-4:5,vinci_2020

BeilT20,Conference and Workshop Papers,Cluster-clean-label: an interactive machine learning approach for labeling high-dimensional data.,2020,5:1-5:8,vinci_2020

GrimmeisenT20,Conference and Workshop Papers,The machine learning model as a guide: pointing users to interesting instances for labeling through visual cues.,2020,6:1-6:8,vinci_2020

HuBW20,Conference and Workshop Papers,Visualizing dynamic graphs with heat triangles.,2020,7:1-7:8,vinci_2020

KorstPW20,Conference and Workshop Papers,A visualization of family relations inspired by the London metro map.,2020,8:1-8:8,vinci_2020

BurchSVZHP20,Conference and Workshop Papers,eDBLP: visualizing scientific publications.,2020,9:1-9:8,vinci_2020

HageleAOTW20,Conference and Workshop Papers,Visualization of nonlinear programming for robot motion planning.,2020,10:1-10:8,vinci_2020

MunzSBKZW20,Conference and Workshop Papers,Comparative visual gaze analysis for virtual board games.,2020,11:1-11:8,vinci_2020

TakahashiUWA20,Conference and Workshop Papers,Context-aware placement of items with gaze-based interaction.,2020,12:1-12:8,vinci_2020

BurchSFUGHSK20,Conference and Workshop Papers,PasVis: enhancing public transport maps with interactive passenger data visualizations.,2020,13:1-13:8,vinci_2020

HanS20,Conference and Workshop Papers,Exploring vibrotactile cues for interactive guidance in data visualization.,2020,14:1-14:10,vinci_2020

FezerRT20,Conference and Workshop Papers,XplainableClusterExplorer: a novel approach for interactive feature selection for clustering.,2020,15:1-15:5,vinci_2020

BurchLWW20,Conference and Workshop Papers,Voronoier: from images to Voronoi diagrams.,2020,16:1-16:9,vinci_2020

Misue20,Conference and Workshop Papers,Tools for developing color ramps for representing quantitative data.,2020,17:1-17:5,vinci_2020

BurchKQZ20,Conference and Workshop Papers,Comparing dimensionality reductions for eye movement data.,2020,18:1-18:5,vinci_2020

NguyenJD20,Conference and Workshop Papers,Revisiting common pitfalls in graphical representations utilizing a case-based learning approach.,2020,19:1-19:5,vinci_2020

GarciaW20,Conference and Workshop Papers,Inner-process visualization of hidden states in recurrent neural networks.,2020,20:1-20:5,vinci_2020

VollmerD20,Conference and Workshop Papers,2.5D dust & magnet visualization for large multivariate data.,2020,21:1-21:8,vinci_2020

ReichertPMV20,Conference and Workshop Papers,Visual analysis of video recorded dinghy sailing sessions.,2020,22:1-22:5,vinci_2020

BurchVTVSMFK20,Conference and Workshop Papers,VizWick: a multiperspective view of hierarchical data.,2020,23:1-23:5,vinci_2020

HosokawaAW20,Conference and Workshop Papers,"A scalable ""exploranation"" technique for hierarchically indexed table data.",2020,24:1-24:5,vinci_2020

BurchBCKPSV20,Conference and Workshop Papers,Guiding graph exploration by combining layouts and reorderings.,2020,25:1-25:5,vinci_2020

ZhouCCWM0L20,Conference and Workshop Papers,A fast method for detecting minority structures in a graph.,2020,26:1-26:2,vinci_2020

0094FB20,Conference and Workshop Papers,Leveraging aesthetic expression in visualization to communicate positive facts during COVID-19 pandemic.,2020,27:1-27:2,vinci_2020

LimbergerTD20,Conference and Workshop Papers,Depicting uncertainty in 2.5D treemaps.,2020,28:1-28:2,vinci_2020

Schreiber20,Conference and Workshop Papers,Visualization of contributions to open-source projects.,2020,29:1-29:2,vinci_2020

NguyenNDH20,Conference and Workshop Papers,ScagnosticsViewer: tracking time series patterns via scagnostics meatures.,2020,30:1-30:4,vinci_2020

AnguloPC20,Conference and Workshop Papers,Subsyst simulator: an interactive infographic for knowledge transfer.,2020,31:1-31:5,vinci_2020

DaiT019,Conference and Workshop Papers,Visual Analytics of Urban Transportation from a Bike-Sharing and Taxi Perspective.,2019,1:1-1:8,vinci_2019

TangFS19,Conference and Workshop Papers,Revealing Travel Patterns from Dockless Bike-sharing Data Based on Tensor Decomposition.,2019,2:1-2:7,vinci_2019

YeonPSJ19,Conference and Workshop Papers,Visual predictive modeling of incomplete time series panel data.,2019,3:1-3:8,vinci_2019

YanCZ19,Conference and Workshop Papers,Frequent Pattern-based Graph Exploration.,2019,4:1-4:8,vinci_2019

RieglerWHP19,Conference and Workshop Papers,Evaluation of a novel visualization for dynamic social networks.,2019,5:1-5:8,vinci_2019

SunWXL19,Conference and Workshop Papers,Multidimensional Traffic State Discrimination Based on Floating Car Data.,2019,6:1-6:5,vinci_2019

SchoedonTHGD19,Conference and Workshop Papers,Web-based Visualization of Transportation Networks for Mobility Analytics.,2019,7:1-7:5,vinci_2019

BurchVS19,Conference and Workshop Papers,EyeClouds: A Visualization and Analysis Tool for Exploring Eye Movement Data.,2019,8:1-8:8,vinci_2019

0001ASEZS19,Conference and Workshop Papers,TEAMwISE: Synchronised Immersive Environments for Exploration and Analysis of Movement Data.,2019,9:1-9:5,vinci_2019

HuGW19,Conference and Workshop Papers,Underwater Frogman Situational Awareness and AR Helmet Display and Control System.,2019,10:1-10:7,vinci_2019

LimbergerSDT19,Conference and Workshop Papers,Advanced Visual Metaphors and Techniques for Software Maps.,2019,11:1-11:8,vinci_2019

DongZCC19,Conference and Workshop Papers,VIStory: Interactive Storyboard for Exploring Visual Information in Scientific Publications.,2019,12:1-12:8,vinci_2019

YangLLCZL19,Conference and Workshop Papers,How to Improve Semantics Understanding of Word Clouds.,2019,13:1-13:5,vinci_2019

ZengZZBX19,Conference and Workshop Papers,Keyword Analysis Visualization for Chinese Historical Texts.,2019,14:1-14:4,vinci_2019

LiLYHYW19,Conference and Workshop Papers,Visual Analysis of Retailing Store Location Selection.,2019,15:1-15:8,vinci_2019

0001JMWHBS19,Conference and Workshop Papers,Visual Analytics for Cheetah Behaviour Analysis.,2019,16:1-16:8,vinci_2019

BurchM19,Conference and Workshop Papers,Teaching and Evaluating Collaborative Group Work in Large Visualization Courses.,2019,17:1-17:8,vinci_2019

DingPY19,Conference and Workshop Papers,Object Inflation for Artistic Augmentation in Images and Animations.,2019,18:1-18:7,vinci_2019

LangerM19,Conference and Workshop Papers,Towards Utilizing Domain Expertise for Exploratory Data Analysis.,2019,19:1-19:5,vinci_2019

Lin019,Conference and Workshop Papers,Visually Communicating Mathematical Knot Deformation.,2019,20:1-20:8,vinci_2019

TrappDD19,Conference and Workshop Papers,Occlusion Management Techniques for the Visualization of Transportation Networks in Virtual 3D City Models.,2019,21:1-21:8,vinci_2019

GuoWL19,Conference and Workshop Papers,Streamline Distribution Method based on Vector-magnitude-aware Entropy.,2019,22:1-22:5,vinci_2019

LuGN19,Conference and Workshop Papers,Feature Flow Animation.,2019,23:1-23:2,vinci_2019

XuCSC19,Conference and Workshop Papers,Design and Implementation of a Dynamic Map Template Based on Rule Combination.,2019,24:1-24:2,vinci_2019

ZhuKLXXWW19,Conference and Workshop Papers,Skeleton Tree based Non-rigid 3D Shape Retrieval.,2019,25:1-25:2,vinci_2019

ZhangMOYFF19,Conference and Workshop Papers,Automatic Image Segmentation for Microwave Tomography (MWT): From Implementation to Comparative Evaluation.,2019,26:1-26:2,vinci_2019

ZouZL19,Conference and Workshop Papers,Parsing Strategies for Context-Sensitive Graph Grammars.,2019,27:1-27:2,vinci_2019

ShengDW19,Conference and Workshop Papers,Online dynamic graph drawing with inverse Markov analysis.,2019,28:1-28:2,vinci_2019

PengG19,Conference and Workshop Papers,The Application of Visual Narration in Academic Research.,2019,29:1-29:2,vinci_2019

GaoF19,Conference and Workshop Papers,Information Visualization in the Delivery of Postoperative Treatment Services for Breast Cancer.,2019,30:1-30:2,vinci_2019

SunPZ19,Conference and Workshop Papers,Color in Tibetan Buddhism Communication Via Mani Heaps.,2019,31:1-31:2,vinci_2019

ZhaoCSWPF19,Conference and Workshop Papers,Visualizing Dynamic Network via Sampled Massive Sequence View.,2019,32:1-32:2,vinci_2019

YuCW19,Conference and Workshop Papers,Digital Simulation and Reinterpretation for Pattern from Art Heritages.,2019,33:1-33:2,vinci_2019

ZhangHT19,Conference and Workshop Papers,Algorithmic Animation in supporting Dance and Choreography.,2019,34:1-34:2,vinci_2019

WangG19,Conference and Workshop Papers,Research on Traffic Sign Detection Based on Convolutional Neural Network.,2019,35:1-35:5,vinci_2019

HuGJ19,Conference and Workshop Papers,Automatic Driving of End-to-end Convolutional Neural Network Based on MobileNet-V2 Migration Learning.,2019,36:1-36:4,vinci_2019

JiGH19,Conference and Workshop Papers,Features Extraction and Classification of Wood Defect Based on Hu Invariant Moment and Wavelet Moment and BP Neural Network.,2019,37:1-37:5,vinci_2019

LiuW19,Conference and Workshop Papers,On the Strategies of Visual Design and Competition of Chinese Tableware Brands.,2019,38:1-38:5,vinci_2019

LiuC19,Conference and Workshop Papers,On Applications of Art of Chinese Minorities in Brand-Localization: Taking the design of a luggage enterprise as an example.,2019,39:1-39:4,vinci_2019

GoelFVSRP18,Conference and Workshop Papers,EpidNews: An Epidemiological News Explorer for Monitoring Animal Diseases.,2018,1-8,vinci_2018

ObieCAAGB18,Conference and Workshop Papers,PedaViz: Visualising Hour-Level Pedestrian Activity.,2018,9-16,vinci_2018

DuWLY18,Conference and Workshop Papers,BehaviorTracker: Visual Analytics of Customer Switching Behavior in O2O Market.,2018,17-24,vinci_2018

ZhouW18,Conference and Workshop Papers,Contrast Enhancement Based on Viewing Distance.,2018,25-32,vinci_2018

BurchS18,Conference and Workshop Papers,Challenges and Perspectives of Interacting with Hierarchy Visualizations on Large-Scale Displays.,2018,33-40,vinci_2018

WangLLZ18,Conference and Workshop Papers,Generating Tractable Designs by Transforming Shape Grammars to Graph Grammars.,2018,41-48,vinci_2018

LimbergerTD18,Conference and Workshop Papers,"Interactive, Height-Based Filtering in 2.5D Treemaps.",2018,49-55,vinci_2018

RodinE18,Conference and Workshop Papers,Automatic View Placement in 3D toward Hierarchical Non-Linear Presentations.,2018,56-63,vinci_2018

GhaffarBJKSKS18,Conference and Workshop Papers,3D Modelling and Visualisation of Heterogeneous Cell Membranes in Blender.,2018,64-71,vinci_2018

Burch18,Conference and Workshop Papers,Property-Driven Dynamic Call Graph Exploration.,2018,72-79,vinci_2018

MarzialettiCB18,Conference and Workshop Papers,Upstream Visibility: A Multi-View Routing Visualization.,2018,80-87,vinci_2018

BurchBBMKRSWK18,Conference and Workshop Papers,IMDb Explorer: Visual Exploration of a Movie Database.,2018,88-91,vinci_2018

ReskiA18,Conference and Workshop Papers,Using an Augmented Reality Cube-Like Interface and 3D Gesture-Based Interaction to Navigate and Manipulate Data.,2018,92-96,vinci_2018

KucherMK18,Conference and Workshop Papers,Analysis of VINCI 2009-2017 Proceedings.,2018,97-101,vinci_2018

KucherSK18,Conference and Workshop Papers,Application of Interactive Computer-Assisted Argument Extraction to Opinionated Social Media Texts.,2018,102-103,vinci_2018

LinckeLTMLJ18,Conference and Workshop Papers,Diabetes Information in Social Media.,2018,104-105,vinci_2018

TollW18,Conference and Workshop Papers,Visualizing Programming Session Timelines.,2018,106-107,vinci_2018

KawanabeNO18,Conference and Workshop Papers,ChOWDER: Dynamic Contents Sharing through Remote Tiled Display System.,2018,108-109,vinci_2018

Xing18,Conference and Workshop Papers,Data Modeling and Analysis on Fashion Evolution.,2018,110-111,vinci_2018

FagerholmA18,Conference and Workshop Papers,Information Visualization and Design.,2018,112-113,vinci_2018

Burch18a,Conference and Workshop Papers,Visual Notifier: A Timeline-Based Visualization for Notifications from Several Environments.,2018,114-115,vinci_2018

ZimmerZJ18,Conference and Workshop Papers,Towards Uncertainty Visualization in Smart Production Environments.,2018,116-117,vinci_2018

HanYGL18,Conference and Workshop Papers,Improved Exploration with Dimensional Weight Manipulation in RadViz.,2018,118-119,vinci_2018

VosoughKKG17,Conference and Workshop Papers,Visualizing uncertainty in flow diagrams: a case study in product costing.,2017,1-8,vinci_2017

ZhouCWLLHC017,Conference and Workshop Papers,A radviz-based visualization for understanding fuzzy clustering results.,2017,9-15,vinci_2017

ZouZLL17,Conference and Workshop Papers,Partial precedence of context-sensitive graph grammars.,2017,16-23,vinci_2017

LiuLLW17,Conference and Workshop Papers,An application of optimization method for storyline based on cluster analysis.,2017,24-28,vinci_2017

YooRYKJ17,Conference and Workshop Papers,Personal visual analytics for android security risk lifelog.,2017,29-36,vinci_2017

RodriguezNUBSBW17,Conference and Workshop Papers,Visualization of time series data with spatial context: communicating the energy production of power plants.,2017,37-44,vinci_2017

AthukoralaMARPR17,Conference and Workshop Papers,Visualizing activity traces to support collaborative literature searching.,2017,45-52,vinci_2017

BorsBGM17,Conference and Workshop Papers,Visual support for rastering of unequally spaced time series.,2017,53-57,vinci_2017

MisueOS17,Conference and Workshop Papers,Visual considerations of relative trajectory models of moving objects.,2017,58-62,vinci_2017

LuoRL17,Conference and Workshop Papers,Anamorphic fluid: exploring spatial organization and movements of images in a simulated fluid environment.,2017,63-64,vinci_2017

Li017,Conference and Workshop Papers,Using sunflower metaphor to reduce clutter of scatterplot.,2017,65-66,vinci_2017

LiWC17,Conference and Workshop Papers,Visualizing thai stock performance using parallel coordinates.,2017,67-68,vinci_2017

FongBT17,Conference and Workshop Papers,Visual clustering-based apriori ARM methodology for obtaining quality association rules.,2017,69-70,vinci_2017

ZhangBY17,Conference and Workshop Papers,Towards a design generation methodology.,2017,71-72,vinci_2017

ZhuZWL17,Conference and Workshop Papers,Visual analysis of driving styles from vehicle experiment data.,2017,73-74,vinci_2017

GuoKSHSL17,Conference and Workshop Papers,Data-driven dementia diagnosis record visualization system.,2017,75-76,vinci_2017

Thanapattheerakul17,Conference and Workshop Papers,Network-based visualization tool for analyzing gene expression data.,2017,77-78,vinci_2017

