id,name,institutions,url
a09_1,Andrew Vande Moere,['The University of Sydney'],
a09_2,Stephanie Patel,['The University of Sydney'],
a09_3,Adel Ahmed,['King Fahad University of Petroleum and Minerals'],
a09_4,Xiaoyan Fu,['National ICT Australia'],
a09_5,Seok-Hee Hong,['The University of Sydney'],
a09_6,Quan Hoang Nguyen,['University of New South Wales'],
a09_7,Kai Xu,['ICT Center'],
a09_8,Pushpa Kumar,['University of Texas at Dallas'],
99660626111,Kang Zhang,['Hong Kong University of Science and Technology'],https://dl.acm.org/profile/99660626111
a09_10,Mao Lin Huang,['The University of Sydney'],
a09_11,Steffen Bogen,['University of Konstanz'],
a09_12,Ulrik Brandes,['University of Konstanz'],
a09_13,Hendrik Ziezold,['University of Konstanz'],
81552904056,Lei Ren,"['Beihang University', 'Ministry of Education China']",https://dl.acm.org/profile/81552904056
a09_15,Lin Zhang,[''],
81384607002,Dongxing Teng,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']",https://dl.acm.org/profile/81384607002
81100172122,Guozhong Dai,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences', 'Nokia Corporation']",https://dl.acm.org/profile/81100172122
a09_18,Qian Li,[''],
81453614419,Jiawan Zhang,['Tianjin University'],https://dl.acm.org/profile/81453614419
a09_20,Yuan Wen,[''],
81100511332,Quang Vinh Nguyen,"['The MARCS Institute for Brain, Behaviour and Development', 'Western Sydney University', 'University of Technology Sydney']",https://dl.acm.org/profile/81100511332
a09_22,Liang Fu Lu,[''],
a09_23,Mao Lin Huang,[''],
a09_24,Jiadong Yang,[''],
a09_25,Jizhou Sun,[''],
a09_26,Ping Xiao,[''],
a09_27,Ernesto Arroyo,[''],
a09_28,Josep Blat,[''],
99659194214,Yang Zou,['Hohai University'],https://dl.acm.org/profile/99659194214
a09_30,Jian Lü,[''],
81319505316,Xiaoqin Zeng,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']",https://dl.acm.org/profile/81319505316
a09_32,Xiaoxing Ma,[''],
a09_33,Qiliang Yang,[''],
a09_34,Yan-Peng Lim,[''],
a09_35,Peter Charles Woods,[''],
a09_36,Yain-Whar Si,[''],
a09_37,Kan-Ion Leong,[''],
81100203521,Robert P. Biuk-Aghai,['University of Macau'],https://dl.acm.org/profile/81100203521
a09_39,Simon Fong,[''],
a09_40,Cui Xie,[''],
a09_41,Lihua Xing,[''],
a09_42,Cunna Liu,[''],
a09_43,Xiaocong Li,[''],
a09_45,Guoqiang Yang,[''],
a09_46,Liang Fu Lu,[''],
a09_47,Mao Lin Huang,[''],
a09_48,Ming Che,[''],
a09_49,Inessa Seifert,[''],
a09_50,Michael Kruppa,[''],
81100106876,Feng Tian,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences', '+ 8']",https://dl.acm.org/profile/81100106876
a09_53,Lin Zhang,[''],
a09_56,Mao Lin Huang,[''],
a09_57,Sandro Varano,[''],
a09_58,Jean-Claude Bignon,[''],
a09_59,J. Joshua Thomas,[''],
a09_60,Ahamad Tajudin Abdul Khader,[''],
a09_61,Bahari Belaton,[''],
a09_62,Brian N. Hilton,[''],
a09_63,Thomas A. Horan,[''],
a09_64,Benjamin L. Schooley,[''],
a09_65,Chengying Mao,[''],
a09_66,Li Zheng,[''],
a09_67,Chao Zhang,[''],
a09_68,Zhanwei Wu,[''],
a09_69,Yixin Yan,[''],
a09_70,Donggang Yu,[''],
a09_71,Jesse Sheng Jin,[''],
a09_72,Suhuai Luo,[''],
a09_73,Wei Lai,[''],
a09_74,Qingming Huang,[''],
a09_75,Zhuo Li,[''],
a09_76,Jian Chen,[''],
a09_77,Xiaoning Jiang,[''],
a09_78,Xian-Ting Zeng,[''],
a09_79,Xuezeng Pan,[''],
a09_80,Mingjing Ai,[''],
a09_81,Lili Zhao,[''],
a09_82,Yongmei Zhu,[''],
a09_83,Qinping Zhao,[''],
a09_84,Huaiqing He,[''],
a09_85,Tianbao Wang,[''],
a09_86,Qing Xu,[''],
a09_87,Yaoyu Xing,[''],
99659583267,René Cutura,"['University of Stuttgart', 'Vienna University of Technology', 'University of Vienna']",https://dl.acm.org/profile/99659583267
99660233714,Cristina Morariu,['University of Stuttgart'],https://dl.acm.org/profile/99660233714
99659275761,Zhanglin Cheng,['Shenzhen Institute of Advanced Technology'],https://dl.acm.org/profile/99659275761
82658976157,Yunhai Wang,"['Shandong University', 'Shenzhen Institute of Advanced Technology']",https://dl.acm.org/profile/82658976157
81100214723,Daniel Weiskopf,"['University of Stuttgart', 'Simon Fraser University', 'IEEE', 'University of Tübingen']",https://dl.acm.org/profile/81100214723
81375621529,Michael Sedlmair,"['University of Stuttgart', 'Jacobs University Bremen', 'University of Vienna', 'The University of British Columbia', '+ 2']",https://dl.acm.org/profile/81375621529
81100329777,Takayuki Itoh,"['Ochanomizu University', 'IBM Japan, Ltd.']",https://dl.acm.org/profile/81100329777
99659915690,Asuka Nakabayashi,['Ochanomizu University'],https://dl.acm.org/profile/99659915690
81100399955,Mariko Hagita,"['Ochanomizu University', 'Keio University']",https://dl.acm.org/profile/81100399955
99659915368,Maath Musleh,"['Linnaeus University, Kalmar']",https://dl.acm.org/profile/99659915368
99659465677,Angelos Chatzimparmpas,"['Linnaeus University, Växjö', 'University of Western Macedonia']",https://dl.acm.org/profile/99659465677
81472654517,Ilir Jusufi,"['Linnaeus University, Kalmar', 'Linnaeus University, Växjö', 'University of California, Davis']",https://dl.acm.org/profile/81472654517
99659248999,Alexander Achberger,"['Mercedes Benz Cars', 'University of Stuttgart']",https://dl.acm.org/profile/99659248999
99659583503,Frank Heyen,['University of Stuttgart'],https://dl.acm.org/profile/99659583503
99659915852,Kresimir Vidakovic,['Stuttgart Media University'],https://dl.acm.org/profile/99659915852
99659915755,Martin Büßemeyer,['Hasso Plattner Institute for Digital Engineering gGmbH'],https://dl.acm.org/profile/99659915755
82458918757,Daniel Limberger,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']",https://dl.acm.org/profile/82458918757
99659051346,Willy Scheibel,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']",https://dl.acm.org/profile/99659051346
81100019985,Jürgen Döllner,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam', 'University of Münster']",https://dl.acm.org/profile/81100019985
