name,institutions
Andrew Vande Moere,['The University of Sydney']
Stephanie Patel,['The University of Sydney']
Adel Ahmed,['King Fahad University of Petroleum and Minerals']
Xiaoyan Fu,['National ICT Australia']
Seok-Hee Hong,['The University of Sydney']
Quan Hoang Nguyen,['University of New South Wales']
Kai Xu,['ICT Center']
Pushpa Kumar,['University of Texas at Dallas']
K. Zhang,"['The University of Texas at Dallas', 'Tianjin University', 'IEEE', 'Hong Kong University of Science and Technology']"
Maolin Huang,"['University of Technology Sydney', 'Tianjin University', 'Tianjin University of Technology', '+ 1']"
Steffen Bogen,['University of Konstanz']
Ulrik Brandes,['University of Konstanz']
Hendrik Ziezold,['University of Konstanz']
Lei Ren,"['Beihang University', 'Ministry of Education China']"
Lin Zhang,['Beihang University']
Dongxing Teng,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Guozhong Dai,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences', 'Nokia Corporation']"
Qian Li,['']
Jiawan Zhang,['Tianjin University']
Yuan Wen,['Tianjin University']
Quang Vinh Nguyen,"['The MARCS Institute for Brain, Behaviour and Development', 'Western Sydney University', 'University of Technology Sydney']"
Liang Fu Lu,['Tianjin University']
Jiadong Yang,['Tianjin University']
Jizhou Sun,['Tianjin University']
Ping Xiao,['Universitat Pompeu Fabra']
Ernesto Arroyo,['Universitat Pompeu Fabra']
Josep Blat,['Universitat Pompeu Fabra']
Yang Zou,"['Hohai University', 'Nanjing University']"
Jian Lü,['Nanjing University']
Xiaoqin Zeng,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']"
Xiaoxing Ma,['Nanjing University']
Qiliang Yang,['Nanjing University']
Yan-Peng Lim,['Multimedia University']
Peter Charles Woods,['Multimedia University']
Yain-Whar Si,['University of Macau']
Kan-Ion Leong,['']
Robert P. Biuk-Aghai,['University of Macau']
Simon Fong,['University of Macau']
Cui Xie,['Ocean University of China']
Lihua Xing,['Ocean University of China']
Cunna Liu,['Ocean University of China']
Xiaocong Li,['Ocean University of China']
Guoqiang Yang,['Tianjin University']
Ming Che,['Tianjin University']
Inessa Seifert,['German Research Center for Artificial Intelligence']
Michael Kruppa,['German Research Center for Artificial Intelligence']
Feng Tian,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Sandro Varano,['Ecole Nationale Supérieure d’Architecture de Strasbourg']
Jean-Claude Bignon,['Ecole Nationale Supérieure d’Architecture de Strasbourg']
J Joshua Thomas,"['University Sains Malaysia', 'UOW Malaysia KDU College']"
Ahamad Tajudin Abdul Khader,['University Sains Malaysia']
Bahari Belaton,['']
Brian N. Hilton,['Claremont Graduate University']
Thomas A. Horan,['Claremont Graduate University']
Benjamin L. Schooley,['Claremont Graduate University']
Chengying Mao,['Jiangxi University of Finance and Economics']
Li Zheng,['Tsinghua University']
Chao Zhang,['Tsinghua University']
Zhanwei Wu,['Tsinghua University']
Yixin Yan,['Tsinghua University']
Donggang Yu,['The University of Newcastle']
Jesse Sheng Jin,['The University of Newcastle']
Suhuai Luo,['The University of Newcastle']
Wei Lai,['Swinburne University of Technology']
Qingming Huang,['Chinese Academy of Sciences']
Zhuo Li,['Zhejiang University']
Jian Chen,['Zhejiang University']
Xiaoning Jiang,['Zhejiang University']
Xian-Ting Zeng,['Zhejiang University']
Xuezeng Pan,['']
Mingjing Ai,['Beihang University']
Lili Zhao,['Beihang University']
Yongmei Zhu,['Beihang University']
Qinping Zhao,['Beihang University']
Huaiqing He,['Civil Aviation University of China']
Tianbao Wang,['Civil Aviation University of China']
Qing Xu,['Tianjin University']
Yaoyu Xing,['Civil Aviation University of China']
René Cutura,"['University of Stuttgart', 'Vienna University of Technology', 'University of Vienna']"
Cristina Morariu,['University of Stuttgart']
Zhanglin Cheng,['Shenzhen Institute of Advanced Technology']
Yunhai Wang,"['Shandong University', 'Shenzhen Institute of Advanced Technology']"
Daniel Weiskopf,"['University of Stuttgart', 'Simon Fraser University', 'IEEE', 'University of Tübingen']"
Michael Sedlmair,"['University of Stuttgart', 'Jacobs University Bremen', 'University of Vienna', 'The University of British Columbia', '+ 2']"
Takayuki Itoh,"['Ochanomizu University', 'IBM Japan, Ltd.']"
Asuka Nakabayashi,['Ochanomizu University']
Mariko Hagita,"['Ochanomizu University', 'Keio University']"
Maath Musleh,"['Linnaeus University, Kalmar']"
Angelos Chatzimparmpas,"['Linnaeus University, Växjö', 'University of Western Macedonia']"
Ilir Jusufi,"['Linnaeus University, Kalmar', 'Linnaeus University, Växjö', 'University of California, Davis']"
Alexander Achberger,"['Mercedes Benz Cars', 'University of Stuttgart']"
Frank Heyen,['University of Stuttgart']
Kresimir Vidakovic,['Stuttgart Media University']
Martin Büßemeyer,['Hasso Plattner Institute for Digital Engineering gGmbH']
Daniel Limberger,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']"
Willy Scheibel,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']"
Jürgen Döllner,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam', 'University of Münster']"
Jan van Dieken,['Hasso Plattner Institute for Digital Engineering gGmbH']
Ayush Kumar,"['Harvard Medical School', 'Stony Brook University']"
Bharat Goel,['Stony Brook University']
Keshav Rajupet Premkumar,['Stony Brook University']
Michael Burch,"['University of Applied Sciences Western Switzerland', 'Eindhoven University of Technology', '+ 4']"
Klaus D Mueller,"['Stony Brook University', 'IEEE', 'The Ohio State University']"
Lauren Edlin,['Queen Mary University of London']
Joshua D Reiss,"['Queen Mary University of London', 'University of London']"
Cameron Edmond,['UNSW Sydney']
Robert Lawther,['UNSW Sydney']
Maxime Cordeil,"['Monash University', 'The University of Queensland', 'Federal University of Toulouse Midi-Pyrénées', '+ 1']"
Tomasz P Bednarz,"['Epicentre', 'UNSW Sydney', 'CSIRO Data61', 'ARC Centre of Excellence for Mathematical & Statistical Frontiers', '+ 2']"
Miguel Alfonso Feijóo-García,['Universidad El Bosque']
José Tiberio Hernández-Peñalosa,"['University of the Andes, Colombia']"
Christina Stoiber,['St. Polten University of Applied Sciences']
Conny Walchshofer,['Johannes Kepler University Linz']
Florian Grassinger,['St. Polten University of Applied Sciences']
Holger Stitz,"['Johannes Kepler University Linz', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media']"
Marc Streit,"['Johannes Kepler University Linz', 'Harvard Medical School', 'Graz University of Technology']"
Wolfgang Aigner,"['St. Polten University of Applied Sciences', 'Vienna University of Technology']"
Akshay Murari,['The University of North Carolina at Charlotte']
Elias Mahfoud,['The University of North Carolina at Charlotte']
Weichao Wang,['The University of North Carolina at Charlotte']
Aidong Lu,"['The University of North Carolina at Charlotte', 'The University of North Carolina System', 'Purdue University', 'IEEE']"
Hinako Sassa,['Ochanomizu University']
Mitsuo Yoshida,['Toyohashi University of Technology']
Oliver Moseler,['University of Trier']
Lucas Kreber,['University of Trier']
Stephan Diehl,"['University of Trier', 'Catholic University in Eichstätt', 'Saarland University']"
Chen He,['University of Helsinki']
Luana Micallef,"['University of Copenhagen', 'Aalto University', 'INRIA Institut National de Recherche en Informatique et en Automatique', 'University of Kent']"
Barış Serim,"['University of Helsinki', 'Helsinki Institute for Information Technology', 'Koc University']"
Tung Vuong,['University of Helsinki']
Tuukka Ruotsalo,"['University of Helsinki', 'University of Copenhagen', 'Aalto University']"
Giulio Iacucci,"['University of Helsinki', 'Aalto University', 'Helsinki Institute for Information Technology', 'University of Oulu']"
Günter Wallner,"['Johannes Kepler University Linz', 'University of Applied Sciences Western Switzerland', '+ 3']"
Huub M M van de Wetering,"['Eindhoven University of Technology', ""Xi'an Jiaotong University""]"
Freek Rooks,['Eindhoven University of Technology']
Olof Morra,['Eindhoven University of Technology']
Gonzalo Gabriel Méndez,"['Litoral Polytechnic School', 'University of Calgary', 'University of St Andrews']"
Oscar Moreno,['Litoral Polytechnic School']
Daniel Atzberger,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']"
Patricio Mendoza,['Litoral Polytechnic School']
Sebastian Eckl,['Reutlingen University']
Nick Kerschagel,['Reutlingen University']
Uwe Kloos,"['Reutlingen University', 'University of Applied Sciences of the Grisons', 'University of Stuttgart']"
Maitreya Save,['NC State University']
Benjamin Allen Watson,"['NC State University', 'IEEE', 'Northwestern University', 'University of Alberta', 'Georgia Institute of Technology']"
Dong Li,['East China Normal University']
Hong Yin,['East China Normal University']
Changbo Wang,"['East China Normal University', 'Shanghai University', 'State Key Lab of CAD&CG, Zhejiang University']"
Sicheng Song,['East China Normal University']
Kirlin Li,['East China Normal University']
Chenhui Li,"['East China Normal University', 'Hong Kong Polytechnic University']"
Qiaorui Chen,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']"
Shuai Zhang,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']"
Yao Zheng,"['Zhejiang University', 'School of Aeronautics and Astronautics, Zhejiang University', 'School of Computer and Computing Science']"
Marco Schmid,[]
Rahel Haymoz,['University of Applied Sciences Western Switzerland']
David Schiller,[]
Carolin Fiedler,['University of Potsdam']
Matthias Trapp,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']"
Nico Klaassen,['Eindhoven University of Technology']
Haoran Dai,"['State Key Lab of CAD&CG, Zhejiang University']"
Yubo Tao,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Hai Lin,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University', 'Fudan University']"
Hao Tang,['Hangzhou Dianzi University']
Sixiang Fei,['Hangzhou Dianzi University']
Xiaoying Shi,['Hangzhou Dianzi University']
Hanbyul Yeon,['Sejong University']
Mingyu Pi,['Sejong University']
Hyesook Son,['Sejong University']
Yun Jang,"['Sejong University', 'Swiss Federal Institute of Technology, Zurich', 'Purdue University']"
Rohan Goel,"['Birla Institute of Technology and Science, Pilani']"
Samiha Fadloun,['University of Montpellier']
Sarah Valentin,['University of Montpellier']
Arnaud Sallaberry,"['University of Montpellier', 'Universite Paul-Valery Montpellier III', 'University of California, Davis', '+ 3']"
Mathieu Roche,"['Territoires, Environnement, Télédétection et Information Spatiale', 'University of Montpellier', 'CIRAD', '+ 4']"
Pascal Poncelet,"['University of Montpellier', '+ 4']"
Humphrey O Obie,"['Monash University', 'Swinburne University of Technology']"
Caslon Chua,['Swinburne University of Technology']
Iman Avazpour,"['Deakin University', 'Swinburne University of Technology']"
Mohamed Almorsy Abdelrazek,['Deakin University']
John C. Grundy,"['Monash University', 'Deakin University', 'Swinburne University of Technology', 'The University of Auckland', '+ 1']"
Yaru Du,[]
Liang Zhou,"['The University of Utah', 'University of Stuttgart']"
Hansjörg Schmauder,['University of Stuttgart']
Xiaoyu Wang,['The University of Texas at Dallas']
Yufeng Liu,['Hohai University']
Jie Li,"['Tianjin University', 'Nanjing University']"
Daniil Rodin,['Technion - Israel Institute of Technology']
Gershon Elber,"['Technion - Israel Institute of Technology', 'IEEE', 'The University of Utah']"
Mehmood Ghaffar,['Bielefeld University']
Niklas Biere,['Bielefeld University']
Daniel Jäger,['Bielefeld University']
Karsten Klein,"['Monash University', 'University of Konstanz', 'The University of Sydney', 'Technical University Dortmund', '+ 1']"
Falk Schreiber,"['University of Konstanz', 'Monash University', 'Martin Luther University of Halle-Wittenberg', '+ 2']"
Olaf Kruse,['Bielefeld University']
Björn Sommer,"['Royal College of Art', 'University of Konstanz', 'Monash University', 'Bielefeld University']"
Luca Marzialetti,['Roma Tre University']
Massimo Candela,['University of Pisa']
Giuseppe Di Battista,"['Roma Tre University', 'Basilicata University Potenza', 'Sapienza University of Rome']"
Gerald Baulig,[]
Tobias Boley,[]
Arjana Mehmeti,[]
Dina Kurbanismailova,[]
Marc Roswag,[]
Oliver Streicher,[]
Steffen Wittig,[]
Nico Reski,"['Linnaeus University, Växjö']"
Aris Alissandrakis,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Hertfordshire']"
Kostiantyn Kucher,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Rafael Messias Martins,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Andreas Kerren,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Kaiserslautern', 'Vienna University of Technology', '+ 1']"
Maria Skeppstedt,"['University of Potsdam', 'Stockholm University']"
Alisa Lincke,"['Linnaeus University, Växjö']"
Jenny Lundberg,['Blekinge Institute of Technology']
Maria Thunander,['Lund University']
Marcelo Milrad,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Jonas Lundberg,"['Linköping University', 'Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Daniel Toll,"['Linnaeus University, Kalmar']"
Anna Wingkvist,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']"
Tomohiro Kawanabe,['Riken']
Jorji Nonaka,"['Riken', 'Kyoto University']"
Kenji Ono,"['Kyushu University', 'Riken', 'Toshiba Corporation']"
Tu Xing,['Shenzhen University']
Anna Sara Fagerholm,['Mid Sweden University']
Mattias Andersson,['Mid Sweden University']
Björn Zimmer,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Linnaeus University, Växjö', 'Hannover University of Applied Sciences']"
Jan Zenisek,"['University of Applied Sciences Upper Austria, Wels', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'University of Applied Sciences Upper Austria, School of Management']"
Hans-Christian Jetter,"['University of Lübeck', '+ 4']"
Hyunwoo Han,['Ajou University']
Taerin Yoon,['Ajou University']
Hyeonsik Gong,['Ajou University']
Kyungwon Lee,['Ajou University']
Zana Vosough,"['SAP AG', 'Technische Universität Dresden']"
Dietrich Kammer,"['Dresden University of Applied Sciences', 'Technische Universität Dresden']"
Mandy Keck,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Technische Universität Dresden']"
Rainer Groh,['Technische Universität Dresden']
Fangfang Zhou,['Central South University']
Minghui Chen,['Central South University']
Zeyu Wang,['Central South University']
Feng Luo,['Central South University']
Xiaobo Luo,['Central South University']
Wei Huang,['Central South University']
Yi Chen,['Beijing Technology and Business University']
Ying Zhao,['Central South University']
Huiyi Liu,['Hohai University']
Yuhua Liu,"['East China Normal University', 'Shanghai University']"
Hanfei Lin,['East China Normal University']
Yitao Liang,['East China Normal University']
Sangbong Yoo,['Sejong University']
Hongryeol Ryu,['Yonsei University']
Taekyoung ‘Taekyoung’ Kwon,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']"
Nils Rodrigues,['University of Stuttgart']
Rudolf Netzel,['University of Stuttgart']
Kazi Riaz Ullah,['University of Stuttgart']
Alexander Schultz,['Fraunhofer Institute for Solar Energy Systems ISE']
Bruno Burger,['Fraunhofer Institute for Solar Energy Systems ISE']
Daniel Weiskopf,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']"
Kumaripaba Athukorala,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']"
Chao An,"['University of Helsinki', 'Aalto University']"
Aki Reijonen,"['University of Helsinki', 'Helsinki Institute for Information Technology']"
Jaakko Peltonen,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']"
