el1,el2,paper_doi,date
The University of Sydney,The University of Sydney,10.1007/978-1-4419-0312-9_1,2009
King Fahad University of Petroleum and Minerals,National ICT Australia,10.1007/978-1-4419-0312-9_2,2009
King Fahad University of Petroleum and Minerals,The University of Sydney,10.1007/978-1-4419-0312-9_2,2009
King Fahad University of Petroleum and Minerals,University of New South Wales,10.1007/978-1-4419-0312-9_2,2009
King Fahad University of Petroleum and Minerals,ICT Center,10.1007/978-1-4419-0312-9_2,2009
National ICT Australia,The University of Sydney,10.1007/978-1-4419-0312-9_2,2009
National ICT Australia,University of New South Wales,10.1007/978-1-4419-0312-9_2,2009
National ICT Australia,ICT Center,10.1007/978-1-4419-0312-9_2,2009
The University of Sydney,University of New South Wales,10.1007/978-1-4419-0312-9_2,2009
The University of Sydney,ICT Center,10.1007/978-1-4419-0312-9_2,2009
University of New South Wales,ICT Center,10.1007/978-1-4419-0312-9_2,2009
The University of Texas at Dallas,Hong Kong University of Science and Technology,10.1007/978-1-4419-0312-9_3,2009
The University of Texas at Dallas,University of Technology Sydney,10.1007/978-1-4419-0312-9_3,2009
Hong Kong University of Science and Technology,University of Technology Sydney,10.1007/978-1-4419-0312-9_3,2009
University of Konstanz,University of Konstanz,10.1007/978-1-4419-0312-9_4,2009
Beihang University,Beihang University,10.1007/978-1-4419-0312-9_5,2009
Beihang University,Institute of Software Chinese Academy of Sciences,10.1007/978-1-4419-0312-9_5,2009
Beihang University,Shangdong Institute of Commerce and Technology,10.1007/978-1-4419-0312-9_5,2009
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1007/978-1-4419-0312-9_5,2009
Institute of Software Chinese Academy of Sciences,Shangdong Institute of Commerce and Technology,10.1007/978-1-4419-0312-9_5,2009
Tianjin University,Tianjin University,10.1007/978-1-4419-0312-9_6,2009
Tianjin University,Western Sydney University,10.1007/978-1-4419-0312-9_6,2009
Tianjin University,University of Technology Sydney,10.1007/978-1-4419-0312-9_6,2009
Western Sydney University,University of Technology Sydney,10.1007/978-1-4419-0312-9_6,2009
Universitat Pompeu Fabra,Universitat Pompeu Fabra,10.1007/978-1-4419-0312-9_7,2009
Nanjing University,Nanjing University,10.1007/978-1-4419-0312-9_8,2009
Nanjing University,Hohai University,10.1007/978-1-4419-0312-9_8,2009
Multimedia University,Multimedia University,10.1007/978-1-4419-0312-9_9,2009
University of Macau,University of Macau,10.1007/978-1-4419-0312-9_10,2009
Ocean University of China,Ocean University of China,10.1007/978-1-4419-0312-9_11,2009
Tianjin University,Tianjin University,10.1007/978-1-4419-0312-9_12,2009
Tianjin University,University of Technology Sydney,10.1007/978-1-4419-0312-9_12,2009
German Research Center for Artificial Intelligence,German Research Center for Artificial Intelligence,10.1007/978-1-4419-0312-9_13,2009
Beihang University,Institute of Software Chinese Academy of Sciences,10.1007/978-1-4419-0312-9_14,2009
Beihang University,Beihang University,10.1007/978-1-4419-0312-9_14,2009
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1007/978-1-4419-0312-9_14,2009
Western Sydney University,University of Technology Sydney,10.1007/978-1-4419-0312-9_15,2009
Ecole Nationale Supérieure d’Architecture de Strasbourg,Ecole Nationale Supérieure d’Architecture de Strasbourg,10.1007/978-1-4419-0312-9_16,2009
University Sains Malaysia,University Sains Malaysia,10.1007/978-1-4419-0312-9_17,2009
Claremont Graduate University,Claremont Graduate University,10.1007/978-1-4419-0312-9_18,2009
Tsinghua University,Tsinghua University,10.1007/978-1-4419-0312-9_20,2009
The University of Newcastle,The University of Newcastle,10.1007/978-1-4419-0312-9_21,2009
The University of Newcastle,Swinburne University of Technology,10.1007/978-1-4419-0312-9_21,2009
The University of Newcastle,Chinese Academy of Sciences,10.1007/978-1-4419-0312-9_21,2009
