el1,el2,paper_doi,date
middle east,oceania,10.1007/978-1-4419-0312-9_2,2009
asia,oceania,10.1007/978-1-4419-0312-9_3,2009
asia,north america,10.1007/978-1-4419-0312-9_3,2009
oceania,north america,10.1007/978-1-4419-0312-9_3,2009
asia,oceania,10.1007/978-1-4419-0312-9_6,2009
asia,oceania,10.1007/978-1-4419-0312-9_12,2009
asia,oceania,10.1007/978-1-4419-0312-9_21,2009
asia,europe,10.1145/3481549.3481569,2021
europe,north america,10.1145/3481549.3481562,2021
asia,oceania,10.1145/3481549.3481555,2021
asia,europe,10.1145/3231622.3231624,2018
asia,north america,10.1145/3231622.3231637,2018
asia,north america,10.1145/3105971.3108447,2017
asia,north america,10.1145/3105971.3108444,2017
asia,north america,10.1145/3105971.3108448,2017
asia,north america,10.1145/3105971.3105974,2017
asia,oceania,10.1145/3105971.3105976,2017
asia,north america,10.1145/2968220.2968221,2016
south america,europe,10.1145/2968220.2968238,2016
south america,north america,10.1145/2968220.2968238,2016
europe,north america,10.1145/2968220.2968238,2016
oceania,north america,10.1145/2968220.2968248,2016
asia,oceania,10.1145/2968220.2968239,2016
asia,north america,10.1145/2968220.2968222,2016
asia,north america,10.1145/2968220.2968228,2016
asia,north america,10.1145/2968220.2968232,2016
asia,north america,10.1145/2968220.2972225,2016
asia,oceania,10.1145/2801040.2801058,2015
asia,north america,10.1145/2801040.2801061,2015
asia,north america,10.1145/2801040.2801062,2015
asia,oceania,10.1145/2801040.2801067,2015
asia,europe,10.1145/2801040.2801068,2015
asia,north america,10.1145/2801040.2801072,2015
asia,oceania,10.1145/2636240.2636841,2014
europe,oceania,10.1145/2636240.2636855,2014
oceania,north america,10.1145/2636240.2636842,2014
asia,north america,10.1145/2636240.2636857,2014
asia,europe,10.1145/2493102.2493103,2013
europe,oceania,10.1145/2493102.2493105,2013
asia,north america,10.1145/2493102.2493109,2013
europe,north america,10.1145/2493102.2493115,2013
asia,north america,10.1145/2397696.2397700,2012
asia,north america,10.1145/2397696.2397702,2012
asia,north america,10.1145/2397696.2397704,2012
asia,oceania,10.1145/2397696.2397705,2012
asia,north america,10.1145/2397696.2397705,2012
oceania,north america,10.1145/2397696.2397705,2012
asia,north america,10.1145/2397696.2397707,2012
asia,oceania,10.1145/2397696.2397712,2012
,north america,10.1145/2016656.2016657,2011
asia,north america,10.1145/2016656.2016664,2011
asia,oceania,10.1145/2016656.2016667,2011
asia,north america,10.1145/2016656.2016671,2011
asia,north america,10.1145/3554944.3554951,2022
south america,europe,10.1145/3554944.3554970,2022
,europe,10.1145/3554944.3554964,2022
europe,north america,10.1145/3430036.3430038,2020
,north america,10.1145/3430036.3430072,2020
asia,north america,10.1145/3356422.3356449,2019
asia,oceania,10.1145/3356422.3356429,2019
asia,north america,10.1145/3356422.3356453,2019
