type,title,url,year,authors,afilitions,countries,regions,conference,id
paper-conference,The Physical Visualization of Information: Designing Data Sculptures in an Educational Context.,https://doi.org/10.1007/978-1-4419-0312-9_1,2009,"['Andrew Vande Moere', 'Stephanie Patel']","['The University of Sydney', 'The University of Sydney']","['australia', 'australia']","['oceania', 'oceania']",vinci,10.1007/978-1-4419-0312-9_1
paper-conference,Visual Analysis of History of World Cup: A Dynamic Network with Dynamic Hierarchy and Geographic Clustering.,https://doi.org/10.1007/978-1-4419-0312-9_2,2009,"['Adel Ahmed', 'Xiaoyan Fu', 'Seok-Hee Hong', 'Quan Hoang Nguyen', 'Kai Xu']","['King Fahad University of Petroleum and Minerals', 'National ICT Australia', 'The University of Sydney', 'University of New South Wales', 'ICT Center']","['saudi arabia', 'australia', 'australia', 'australia', 'australia']","['middle east', 'oceania', 'oceania', 'oceania', 'oceania']",vinci,10.1007/978-1-4419-0312-9_2
paper-conference,From Tree to Graph - Experiments with E-Spring Algorithm.,https://doi.org/10.1007/978-1-4419-0312-9_3,2009,"['Pushpa Kumar', 'Kang Zhang', 'Mao Lin Huang']","['The University of Texas at Dallas', 'Hong Kong University of Science and Technology', 'University of Technology Sydney']","['united states', 'hong kong', 'australia']","['north america', 'asia', 'oceania']",vinci,10.1007/978-1-4419-0312-9_3
paper-conference,Visual Navigation with Schematic Maps.,https://doi.org/10.1007/978-1-4419-0312-9_4,2009,"['Steffen Bogen', 'Ulrik Brandes', 'Hendrik Ziezold']","['University of Konstanz', 'University of Konstanz', 'University of Konstanz']","['germany', 'germany', 'germany']","['europe', 'europe', 'europe']",vinci,10.1007/978-1-4419-0312-9_4
paper-conference,DOI-Wave: A Focus+Context Interaction Technique for Networks Based on Attention-Reactive Interface.,https://doi.org/10.1007/978-1-4419-0312-9_5,2009,"['Lei Ren', 'Lin Zhang', 'Dongxing Teng', 'Guozhong Dai', 'Qian Li']","['Beihang University', 'Beihang University', 'Institute of Software Chinese Academy of Sciences', 'Institute of Software Chinese Academy of Sciences', 'Shangdong Institute of Commerce and Technology']","['china', 'china', 'china', 'china', 'china']","['asia', 'asia', 'asia', 'asia', 'asia']",vinci,10.1007/978-1-4419-0312-9_5
paper-conference,Multi-dimensional Data Visualization using Concentric Coordinates.,https://doi.org/10.1007/978-1-4419-0312-9_6,2009,"['Jiawan Zhang', 'Yuan Wen', 'Quang Vinh Nguyen', 'Liang Fu Lu', 'Mao Lin Huang', 'Jiadong Yang', 'Jizhou Sun']","['Tianjin University', 'Tianjin University', 'Western Sydney University', 'Tianjin University', 'University of Technology Sydney', 'Tianjin University', 'Tianjin University']","['china', 'china', 'australia', 'china', 'australia', 'china', 'china']","['asia', 'asia', 'oceania', 'asia', 'oceania', 'asia', 'asia']",vinci,10.1007/978-1-4419-0312-9_6
paper-conference,Construct Connotation Dictionary of Visual Symbols.,https://doi.org/10.1007/978-1-4419-0312-9_7,2009,"['Ping Xiao', 'Ernesto Arroyo', 'Josep Blat']","['Universitat Pompeu Fabra', 'Universitat Pompeu Fabra', 'Universitat Pompeu Fabra']","['spain', 'spain', 'spain']","['europe', 'europe', 'europe']",vinci,10.1007/978-1-4419-0312-9_7
paper-conference,Constructing Confluent Context-sensitive Graph Grammars from Non-confluent Productions for Parsing Efficiency.,https://doi.org/10.1007/978-1-4419-0312-9_8,2009,"['Yang Zou', 'Jian Lü', 'Xiaoqin Zeng', 'Xiaoxing Ma', 'Qiliang Yang']","['Nanjing University', 'Nanjing University', 'Hohai University', 'Nanjing University', 'Nanjing University']","['china', 'china', 'china', 'china', 'china']","['asia', 'asia', 'asia', 'asia', 'asia']",vinci,10.1007/978-1-4419-0312-9_8
paper-conference,Experimental Color in Computer Icons.,https://doi.org/10.1007/978-1-4419-0312-9_9,2009,"['Yan-Peng Lim', 'Peter Charles Woods']","['Multimedia University', 'Multimedia University']","['malaysia', 'malaysia']","['asia', 'asia']",vinci,10.1007/978-1-4419-0312-9_9
paper-conference,Hidden Cluster Detection for Infectious Disease Control and Quarantine Management.,https://doi.org/10.1007/978-1-4419-0312-9_10,2009,"['Yain-Whar Si', 'Kan-Ion Leong', 'Robert P. Biuk-Aghai', 'Simon Fong']","['University of Macau', 'University of Macau', 'University of Macau', 'University of Macau']","['china', 'china', 'china', 'china']","['asia', 'asia', 'asia', 'asia']",vinci,10.1007/978-1-4419-0312-9_10
