id,type,title,publisher,year,isbn
vinci_2021,Editorship,"VINCI 2021: The 14th International Symposium on Visual Information Communication and Interaction, Potsdam, Germany, September 6 - 8, 2021.",ACM,2021,978-1-4503-8647-0
vinci_2020,Editorship,"VINCI 2020: The 13th International Symposium on Visual Information Communication and Interaction, Eindhoven, The Netherlands, 8-10 December, 2020.",ACM,2020,978-1-4503-8750-7
vinci_2019,Editorship,"Proceedings of the 12th International Symposium on Visual Information Communication and Interaction, VINCI 2019, Shanghai, China, September 20-22, 2019.",ACM,2019,978-1-4503-7626-6
vinci_2018,Editorship,"Proceedings of the 11th International Symposium on Visual Information Communication and Interaction, VINCI 2018, Växjö, Sweden, August 13-15, 2018.",ACM,2018,
vinci_2017,Editorship,"Proceedings of the 10th International Symposium on Visual Information Communication and Interaction, VINCI 2017, Bangkok, Thailand, August 14-16, 2017.",ACM,2017,978-1-4503-5292-5
vinci_2016,Editorship,"Proceedings of the 9th International Symposium on Visual Information Communication and Interaction, VINCI 2016, Dallas, TX, USA, September 24-26, 2016.",ACM,2016,978-1-4503-4149-3
vinci_2015,Editorship,"Proceedings of the 8th International Symposium on Visual Information Communication and Interaction, VINCI 2015, Tokyo, Japan, August 24-26, 2015.",ACM,2015,978-1-4503-3482-2
vinci_2014,Editorship,"The 7th International Symposium on Visual Information Communication and Interaction, VINCI '14, Sydney, NSW, Australia, August 5-8, 2014.",ACM,2014,978-1-4503-2765-7
vinci_2013,Editorship,"The 6th International Symposium on Visual Information Communication and Interaction (VINCI), VINCI '13, Tianjin, China - August 17 - 18, 2013.",ACM,2013,978-1-4503-1988-1
vinci_2012,Editorship,"The International Symposium on Visual Information Communication and Interaction, VINCI '12, Hangzhou, China - September 27 - 28, 2012.",ACM,2012,978-1-4503-1782-5
vinci_2011,Editorship,"The 2011 Visual Information Communication - International Symposium, VINCI '11, Hong Kong, China - August 04 - 05, 2011.",ACM,2011,978-1-4503-0786-4
vinci_2010,Editorship,"2010 International Symposium on Visual Information Communication, VINCI '10, Beijing, China - September 28 - 29, 2010.",ACM,2010,978-1-4503-0436-8
vinci_2009,Editorship,"Visual Information Communication, selected papers from the Visual Information Communications International Conference, VINCI 2009, Sydney, NSW, Australia, September 2009.",Springer,2009,978-1-4419-0311-2
