author_id,author_name,author2_id,author2_name,paper_doi,date
a09_1,Andrew Vande Moere,a09_1,Andrew Vande Moere,10.1007/978-1-4419-0312-9_1,2009
a09_1,Andrew Vande Moere,a09_2,Stephanie Patel,10.1007/978-1-4419-0312-9_1,2009
a09_2,Stephanie Patel,a09_2,Stephanie Patel,10.1007/978-1-4419-0312-9_1,2009
a09_3,Adel Ahmed,a09_3,Adel Ahmed,10.1007/978-1-4419-0312-9_2,2009
a09_3,Adel Ahmed,a09_4,Xiaoyan Fu,10.1007/978-1-4419-0312-9_2,2009
a09_3,Adel Ahmed,a09_5,Seok-Hee Hong,10.1007/978-1-4419-0312-9_2,2009
a09_3,Adel Ahmed,a09_6,Quan Hoang Nguyen,10.1007/978-1-4419-0312-9_2,2009
a09_3,Adel Ahmed,a09_7,Kai Xu,10.1007/978-1-4419-0312-9_2,2009
a09_4,Xiaoyan Fu,a09_4,Xiaoyan Fu,10.1007/978-1-4419-0312-9_2,2009
a09_4,Xiaoyan Fu,a09_5,Seok-Hee Hong,10.1007/978-1-4419-0312-9_2,2009
a09_4,Xiaoyan Fu,a09_6,Quan Hoang Nguyen,10.1007/978-1-4419-0312-9_2,2009
a09_4,Xiaoyan Fu,a09_7,Kai Xu,10.1007/978-1-4419-0312-9_2,2009
a09_5,Seok-Hee Hong,a09_5,Seok-Hee Hong,10.1007/978-1-4419-0312-9_2,2009
a09_5,Seok-Hee Hong,a09_6,Quan Hoang Nguyen,10.1007/978-1-4419-0312-9_2,2009
a09_5,Seok-Hee Hong,a09_7,Kai Xu,10.1007/978-1-4419-0312-9_2,2009
a09_6,Quan Hoang Nguyen,a09_6,Quan Hoang Nguyen,10.1007/978-1-4419-0312-9_2,2009
a09_6,Quan Hoang Nguyen,a09_7,Kai Xu,10.1007/978-1-4419-0312-9_2,2009
a09_7,Kai Xu,a09_7,Kai Xu,10.1007/978-1-4419-0312-9_2,2009
a09_8,Pushpa Kumar,a09_8,Pushpa Kumar,10.1007/978-1-4419-0312-9_3,2009
a09_8,Pushpa Kumar,99660626111,Kang Zhang,10.1007/978-1-4419-0312-9_3,2009
a09_8,Pushpa Kumar,a09_10,Mao Lin Huang,10.1007/978-1-4419-0312-9_3,2009
99660626111,Kang Zhang,99660626111,Kang Zhang,10.1007/978-1-4419-0312-9_3,2009
99660626111,Kang Zhang,a09_10,Mao Lin Huang,10.1007/978-1-4419-0312-9_3,2009
a09_10,Mao Lin Huang,a09_10,Mao Lin Huang,10.1007/978-1-4419-0312-9_3,2009
a09_11,Steffen Bogen,a09_11,Steffen Bogen,10.1007/978-1-4419-0312-9_4,2009
a09_11,Steffen Bogen,a09_12,Ulrik Brandes,10.1007/978-1-4419-0312-9_4,2009
a09_11,Steffen Bogen,a09_13,Hendrik Ziezold,10.1007/978-1-4419-0312-9_4,2009
a09_12,Ulrik Brandes,a09_12,Ulrik Brandes,10.1007/978-1-4419-0312-9_4,2009
a09_12,Ulrik Brandes,a09_13,Hendrik Ziezold,10.1007/978-1-4419-0312-9_4,2009
a09_13,Hendrik Ziezold,a09_13,Hendrik Ziezold,10.1007/978-1-4419-0312-9_4,2009
81552904056,Lei Ren,81552904056,Lei Ren,10.1007/978-1-4419-0312-9_5,2009
81552904056,Lei Ren,a09_53,Lin Zhang,10.1007/978-1-4419-0312-9_5,2009
81552904056,Lei Ren,81384607002,Dongxing Teng,10.1007/978-1-4419-0312-9_5,2009
81552904056,Lei Ren,81100172122,Guozhong Dai,10.1007/978-1-4419-0312-9_5,2009
81552904056,Lei Ren,a09_18,Qian Li,10.1007/978-1-4419-0312-9_5,2009
a09_53,Lin Zhang,a09_53,Lin Zhang,10.1007/978-1-4419-0312-9_5,2009
a09_53,Lin Zhang,81384607002,Dongxing Teng,10.1007/978-1-4419-0312-9_5,2009
a09_53,Lin Zhang,81100172122,Guozhong Dai,10.1007/978-1-4419-0312-9_5,2009
a09_53,Lin Zhang,a09_18,Qian Li,10.1007/978-1-4419-0312-9_5,2009
81384607002,Dongxing Teng,81384607002,Dongxing Teng,10.1007/978-1-4419-0312-9_5,2009
81384607002,Dongxing Teng,81100172122,Guozhong Dai,10.1007/978-1-4419-0312-9_5,2009
81384607002,Dongxing Teng,a09_18,Qian Li,10.1007/978-1-4419-0312-9_5,2009
81100172122,Guozhong Dai,81100172122,Guozhong Dai,10.1007/978-1-4419-0312-9_5,2009
81100172122,Guozhong Dai,a09_18,Qian Li,10.1007/978-1-4419-0312-9_5,2009
a09_18,Qian Li,a09_18,Qian Li,10.1007/978-1-4419-0312-9_5,2009
81453614419,Jiawan Zhang,81453614419,Jiawan Zhang,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,a09_20,Yuan Wen,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,81100511332,Quang Vinh Nguyen,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,a09_46,Liang Fu Lu,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,a09_56,Mao Lin Huang,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,a09_24,Jiadong Yang,10.1007/978-1-4419-0312-9_6,2009
81453614419,Jiawan Zhang,a09_25,Jizhou Sun,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,a09_20,Yuan Wen,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,81100511332,Quang Vinh Nguyen,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,a09_46,Liang Fu Lu,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,a09_56,Mao Lin Huang,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,a09_24,Jiadong Yang,10.1007/978-1-4419-0312-9_6,2009
a09_20,Yuan Wen,a09_25,Jizhou Sun,10.1007/978-1-4419-0312-9_6,2009
81100511332,Quang Vinh Nguyen,81100511332,Quang Vinh Nguyen,10.1007/978-1-4419-0312-9_6,2009
81100511332,Quang Vinh Nguyen,a09_46,Liang Fu Lu,10.1007/978-1-4419-0312-9_6,2009
81100511332,Quang Vinh Nguyen,a09_56,Mao Lin Huang,10.1007/978-1-4419-0312-9_6,2009
