institution1,institution2,paper_doi,date
University of Stuttgart,University of Stuttgart,10.1145/3481549.3481569,2021
University of Stuttgart,Shenzhen Institute of Advanced Technology,10.1145/3481549.3481569,2021
University of Stuttgart,Shandong University,10.1145/3481549.3481569,2021
Shenzhen Institute of Advanced Technology,Shenzhen Institute of Advanced Technology,10.1145/3481549.3481569,2021
Shenzhen Institute of Advanced Technology,Shandong University,10.1145/3481549.3481569,2021
Shandong University,Shandong University,10.1145/3481549.3481569,2021
Ochanomizu University,Ochanomizu University,10.1145/3481549.3481553,2021
Linnaeus University  Kalmar,Linnaeus University  Kalmar,10.1145/3481549.3481557,2021
Linnaeus University  Kalmar,Linnaeus University  Växjö,10.1145/3481549.3481557,2021
Linnaeus University  Växjö,Linnaeus University  Växjö,10.1145/3481549.3481557,2021
Mercedes Benz Cars,Mercedes Benz Cars,10.1145/3481549.3481563,2021
Mercedes Benz Cars,University of Stuttgart,10.1145/3481549.3481563,2021
Mercedes Benz Cars,Stuttgart Media University,10.1145/3481549.3481563,2021
University of Stuttgart,University of Stuttgart,10.1145/3481549.3481563,2021
University of Stuttgart,Stuttgart Media University,10.1145/3481549.3481563,2021
Stuttgart Media University,Stuttgart Media University,10.1145/3481549.3481563,2021
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3481549.3481568,2021
Hasso Plattner Institute for Digital Engineering gGmbH,University of Potsdam,10.1145/3481549.3481568,2021
University of Potsdam,University of Potsdam,10.1145/3481549.3481568,2021
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3481549.3481570,2021
Hasso Plattner Institute for Digital Engineering gGmbH,University of Potsdam,10.1145/3481549.3481570,2021
University of Potsdam,University of Potsdam,10.1145/3481549.3481570,2021
Harvard Medical School,Harvard Medical School,10.1145/3481549.3481562,2021
Harvard Medical School,Stony Brook University,10.1145/3481549.3481562,2021
Harvard Medical School,University of Applied Sciences Western Switzerland,10.1145/3481549.3481562,2021
Stony Brook University,Stony Brook University,10.1145/3481549.3481562,2021
Stony Brook University,University of Applied Sciences Western Switzerland,10.1145/3481549.3481562,2021
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3481549.3481562,2021
Queen Mary University of London,Queen Mary University of London,10.1145/3481549.3481560,2021
UNSW Sydney,UNSW Sydney,10.1145/3481549.3481556,2021
UNSW Sydney,Monash University,10.1145/3481549.3481556,2021
UNSW Sydney,Epicentre,10.1145/3481549.3481556,2021
Monash University,Monash University,10.1145/3481549.3481556,2021
Monash University,Epicentre,10.1145/3481549.3481556,2021
Epicentre,Epicentre,10.1145/3481549.3481556,2021
Universidad El Bosque,Universidad El Bosque,10.1145/3481549.3481554,2021
Universidad El Bosque,University of the Andes  Colombia,10.1145/3481549.3481554,2021
University of the Andes  Colombia,University of the Andes  Colombia,10.1145/3481549.3481554,2021
St. Polten University of Applied Sciences,St. Polten University of Applied Sciences,10.1145/3481549.3481558,2021
St. Polten University of Applied Sciences,Johannes Kepler University Linz,10.1145/3481549.3481558,2021
Johannes Kepler University Linz,Johannes Kepler University Linz,10.1145/3481549.3481558,2021
The University of North Carolina at Charlotte,The University of North Carolina at Charlotte,10.1145/3481549.3481564,2021
Ochanomizu University,Ochanomizu University,10.1145/3481549.3481555,2021
Ochanomizu University,Monash University,10.1145/3481549.3481555,2021
Ochanomizu University,Toyohashi University of Technology,10.1145/3481549.3481555,2021
Monash University,Monash University,10.1145/3481549.3481555,2021
