type,title,date,authors,doi,publisher,venue,location
research-article,Content-Driven Layout for Visualization Design,2022,"['Yngve S Kristiansen', 'Laura A Garrison', 'Stefan Bruckner']",10.1145/3554944.3554950,ACM,vinci,
article-journal,Optimal allocation of two-dimensional irregular shapes using heuristic search methods,1980,"['Antonio Albano', 'Giuseppe Sapuppo']",10.1109/TSMC.1980.4308483,,"IEEE Transactions on Systems, Man, and Cyfbernetics",
paper-conference,Adaptive layout for interactive documents,2008,"['Kamran Ali', 'Knut Hartmann', 'Georg Fuchs', 'Heidrun Schumann']",10.1007/978-3-540-85412-8_24,,Proc. International Symposium on Smart Graphics,
paper-conference,Responsive data visualisation,2017,"['Keith Andrews', 'Ales Smrdel']",10.2312/eurp.20171182,,Proc. EuroVis (Posters,
article-journal,Distance transformations in digital images,1986,['Gunilla Borgefors'],10.1016/S0734-189X(86)80047-0,,"Computer vision, graphics, and image processing",
,D3: Data-Driven Documents,2011,"['M. Bostock', 'V. Ogievetsky', 'J. Heer']",10.1109/TVCG.2011.185,,,
article-journal,A vision-based intelligent system for packing 2-D irregular shapes,2007,"['Alexandros Bouganis', 'Murray Shanahan']",10.1109/TASE.2006.887158,,IEEE Transactions on Automation Science and Engineering,
paper-conference,Exploiting GPUs for fast force-directed visualization of large-scale networks,2017,"['Govert G. Brinkmann', 'Kristian F.D. Rietveld', 'Frank W. Takes']",10.1109/ICPP.2017.47,,Proc. International Conference on Parallel Processing,
article-journal,Composition and Configuration Patterns in Multiple-View Visualizations,2020,"['Xi Chen', 'Wei Zeng', 'Yanna Lin', 'Hayder Mahdi Al-Maneea', 'Jonathan C. Roberts', 'Remco Chang']",10.48550/arXiv.2007.15407,,CoRR,
paper-conference,Force-directed Lombardi-style graph drawing,2011,"['Roman Chernobelskiy', 'Kathryn I. Cunningham', 'Michael T. Goodrich', 'Stephen G. Kobourov', 'Lowell Trott']",10.1007/978-3-642-25878-7_31,,Proc. International Symposium on Graph Drawing,
paper-conference,Interactive layout transfer,2021,"['Niraj Ramesh Dayama', 'Simo Santala', 'Lukas Brückner', 'Kashyap Todi', 'Jingzhou Du', 'Antti Oulasvirta']",10.1145/3397481.3450652,,Proc. International Conference on Intelligent User Interfaces,
paper-conference,Constraint-driven diagram layout,1993,"['Edmund Dengler', 'Mark Friedell', 'Joe Marks']",10.1109/VL.1993.269619,,Proc. IEEE Symposium on Visual Languages,
paper-conference,A grid-based approach to automating display layout,1988,['Steven Feiner'],temp12,,Proc. Graphics Interface,
,Optimizing Grid Layouts for Level-of-Detail Exploration of Large Data Collections,"['2022', '2022']",['Steffen Frey'],temp13,,,
article-journal,Graph drawing by Force-directed placement,1991,[' '],10.1002/spe.4380211102,,Software Practice and Experience,
paper-conference,"A constrained, force-directed layout algorithm for biological pathways",2003,"['Burkay Genc', 'Ugur Dogrusoz']",10.1007/978-3-540-24595-7_29,,Proc. International Symposium on Graph Drawing,
paper-conference,AdWiL: adaptive windows layout manager,2009,"['Mona Haraty', 'Syavash Nobarany', 'Steve DiPaola', 'Brian D. Fisher']",10.1145/1520340.1520636,,Proc. International Conference on Human Factors in Computing Systems,
paper-conference,Techniques for Flexible Responsive Visualization Design,2020,"['Jane Hoffswell', 'Wilmot Li', 'Zhicheng Liu']",10.1145/3313831.3376777,,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems. Association for Computing Machinery,
paper-conference,Content-Aware Layout,2007,"['Edward Waguih Ishak', 'Steven Feiner']",10.1145/1240866.1241024,,Proc. CHI Extended Abstracts on Human Factors in Computing Systems,
article-journal,Adaptive grid-based document layout,"['2003', '2003']","['Charles Jacobs', 'Wilmot Li', 'Evan Schrier', 'David Bargeron', 'David Salesin']",10.1145/882262.882353,,ACM Transactions on Graphics,
article-journal,"ForceAtlas2, a continuous graph layout algorithm for handy network visualization designed for the Gephi software","['2014', '2014']","['Mathieu Jacomy', 'Tommaso Venturini', 'Sebastien Heymann', 'Mathieu Bastian']",10.1371/journal.pone.0098679,,PloS one,
paper-conference,Recommendation system for automatic design of magazine covers,2013,"['Ali Jahanian', 'Jerry Liu', 'Qian Lin', 'Daniel Tretter', 'Eamonn O’Brien-Strain', 'Seungyon Claire Lee', 'Nic Lyons', 'Jan Allebach']",10.1145/2449396.2449411,,Proc. International Conference on Intelligent User Interfaces,
paper-conference,Automatic design of magazine covers,2012,"['Ali Jahanian', 'Jerry Liu', 'Daniel R. Tretter', 'Qian Lin', 'Niranjan Damera-Venkata', 'Eamonn O’Brien-Strain', 'Seungyon Lee', 'Jian Fan', 'Jan P. Allebach']",10.1117/12.914596,,Proc. Imaging and Printing in a Web 2.0 World III,
paper-conference,Exploring the Design Space of Composite Visualization,2012,"['Waqas Javed', 'Niklas Elmqvist']",10.1109/PacificVis.2012.6183556,,Proc. IEEE PacificVis,
