author_id,author_name,institute_id,institute_name
99659583267,René  Cutura,60015815,University of Stuttgart
99659583267,René  Cutura,60018163,Vienna University of Technology
99659583267,René  Cutura,60025988,University of Vienna
99660233714,Cristina  Morariu,60015815,University of Stuttgart
99659275761,Zhanglin  Cheng,60102083,Shenzhen Institute of Advanced Technology
82658976157,Yunhai  Wang,60031031,Shandong University
82658976157,Yunhai  Wang,60102083,Shenzhen Institute of Advanced Technology
81100214723,Daniel  Weiskopf,60015815,University of Stuttgart
81100214723,Daniel  Weiskopf,60018491,Simon Fraser University
81100214723,Daniel  Weiskopf,60000251,IEEE
81100214723,Daniel  Weiskopf,60017246,University of Tübingen
81375621529,Michael  Sedlmair,60015815,University of Stuttgart
81375621529,Michael  Sedlmair,60016458,Jacobs University Bremen
81375621529,Michael  Sedlmair,60025988,University of Vienna
81375621529,Michael  Sedlmair,60010365,The University of British Columbia
81100329777,Takayuki  Itoh,60007912,Ochanomizu University
81100329777,Takayuki  Itoh,60107858,"IBM Japan, Ltd."
99659915690,Asuka  Nakabayashi,60007912,Ochanomizu University
81100399955,Mariko  Hagita,60007912,Ochanomizu University
81100399955,Mariko  Hagita,60025997,Keio University
99659465677,Angelos  Chatzimparmpas,60108011,"Linnaeus University, Växjö"
99659465677,Angelos  Chatzimparmpas,60006517,University of Western Macedonia
81472654517,Ilir Jusufi,60104372,"Linnaeus University, Kalmar"
81472654517,Ilir Jusufi,60108011,"Linnaeus University, Växjö"
81472654517,Ilir Jusufi,60014439,"University of California, Davis"
99659248999,Alexander  Achberger,60085150,Mercedes Benz Cars
99659248999,Alexander  Achberger,60015815,University of Stuttgart
99659583503,Frank  Heyen,60015815,University of Stuttgart
99659915852,Kresimir  Vidakovic,60003027,Stuttgart Media University
99659915755,Martin  Büßemeyer,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
82458918757,Daniel Limberger,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
82458918757,Daniel Limberger,60021763,University of Potsdam
99659051346,Willy  Scheibel,60021763,University of Potsdam
99659051346,Willy  Scheibel,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
81100019985,Jürgen  Döllner,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
81100019985,Jürgen  Döllner,60021763,University of Potsdam
81100019985,Jürgen  Döllner,60000401,University of Münster
99659916274,Jan  van Dieken,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
99659275978,Ayush  Kumar,60002746,Harvard Medical School
99659275978,Ayush  Kumar,60026415,Stony Brook University
99659034607,Bharat  Goel,60026415,Stony Brook University
99659915763,Keshav Rajupet Premkumar,60026415,Stony Brook University
81331488994,Michael  Burch,60101868,University of Applied Sciences Western Switzerland
