paper_id,paper_name,author_id,author_name
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,99659583267,René  Cutura
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,99660233714,Cristina  Morariu
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,99659275761,Zhanglin  Cheng
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,82658976157,Yunhai  Wang
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,81100214723,Daniel  Weiskopf
10.1145/3481549.3481569,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,81375621529,Michael  Sedlmair
10.1145/3481549.3481553,Scatterplot Selection Applying a Graph Coloring Algorithm,81100329777,Takayuki  Itoh
10.1145/3481549.3481553,Scatterplot Selection Applying a Graph Coloring Algorithm,99659915690,Asuka  Nakabayashi
10.1145/3481549.3481553,Scatterplot Selection Applying a Graph Coloring Algorithm,81100399955,Mariko  Hagita
10.1145/3481549.3481557,Visual Analysis of Industrial Multivariate Time Series,99659915368,Maath  Musleh
10.1145/3481549.3481557,Visual Analysis of Industrial Multivariate Time Series,99659465677,Angelos  Chatzimparmpas
10.1145/3481549.3481557,Visual Analysis of Industrial Multivariate Time Series,81472654517,Ilir Jusufi
10.1145/3481549.3481563,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",99659248999,Alexander  Achberger
10.1145/3481549.3481563,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",99659583503,Frank  Heyen
10.1145/3481549.3481563,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",99659915852,Kresimir  Vidakovic
10.1145/3481549.3481563,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",81375621529,Michael  Sedlmair
10.1145/3481549.3481568,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",99659915755,Martin  Büßemeyer
10.1145/3481549.3481568,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",82458918757,Daniel Limberger
10.1145/3481549.3481568,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",99659051346,Willy  Scheibel
10.1145/3481549.3481568,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",81100019985,Jürgen  Döllner
10.1145/3481549.3481570,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,82458918757,Daniel Limberger
10.1145/3481549.3481570,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,99659051346,Willy  Scheibel
10.1145/3481549.3481570,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,99659916274,Jan  van Dieken
10.1145/3481549.3481570,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,81100019985,Jürgen  Döllner
10.1145/3481549.3481562,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,99659275978,Ayush  Kumar
10.1145/3481549.3481562,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,99659034607,Bharat  Goel
