paper,year,venue,value
10.1145/1865841.1865848,2010,TVCG,3
10.1145/1865841.1865848,2010,VIS,4
10.1145/1865841.1865848,2010,,10
10.1145/1865841.1865848,2010,SIGGRAPH,1
10.1145/1865841.1865849,2010,,10
10.1145/1865841.1865849,2010,TOG,1
10.1145/1865841.1865849,2010,Proceedings of Graphics Interface,1
10.1145/1865841.1865849,2010,SIGGRAPH,1
10.1145/1865841.1865850,2010,SIGGRAPH,1
10.1145/1865841.1865850,2010,TOG,1
10.1145/1865841.1865850,2010,,7
10.1145/1865841.1865850,2010,GI,1
10.1145/1865841.1865852,2010,,7
10.1145/1865841.1865852,2010,VIS,2
10.1145/1865841.1865852,2010,InfoVis,1
10.1145/1865841.1865853,2010,,16
10.1145/1865841.1865853,2010,VIS,4
10.1145/1865841.1865853,2010,TOG,1
10.1145/1865841.1865853,2010,CHI,1
10.1145/1865841.1865853,2010,InfoVis,1
10.1145/1865841.1865854,2010,GD,7
10.1145/1865841.1865854,2010,LNCS,1
10.1145/1865841.1865854,2010,,11
10.1145/1865841.1865854,2010,TVCG,1
10.1145/1865841.1865854,2010,Information Visualization,2
10.1145/1865841.1865854,2010,VIS,1
10.1145/1865841.1865856,2010,,24
10.1145/1865841.1865857,2010,,9
10.1145/1865841.1865857,2010,ITS,1
10.1145/1865841.1865858,2010,,11
10.1145/1865841.1865858,2010,VL/HCC,1
10.1145/1865841.1865858,2010,GI,1
10.1145/1865841.1865860,2010,,25
10.1145/1865841.1865860,2010,Information Visualization,1
10.1145/1865841.1865860,2010,CG&A,1
10.1145/1865841.1865860,2010,InfoVis,2
10.1145/1865841.1865861,2010,,20
10.1145/1865841.1865861,2010,IJCV,1
10.1145/1865841.1865861,2010,TVCG,1
10.1145/1865841.1865861,2010,CHI,3
10.1145/1865841.1865861,2010,Information Visualization,1
10.1145/1865841.1865861,2010,ICPP,1
10.1145/1865841.1865861,2010,VIS,1
10.1145/1865841.1865861,2010,UIST,1
10.1145/1865841.1865862,2010,,9
10.1145/1865841.1865862,2010,TVCG,2
10.1145/1865841.1865864,2010,,12
10.1145/1865841.1865864,2010,GI,1
10.1145/1865841.1865865,2010,CHI,6
10.1145/1865841.1865865,2010,,24
10.1145/1865841.1865865,2010,CSCW,1
10.1145/1865841.1865865,2010,GI,3
10.1145/1865841.1865865,2010,UIST,3
10.1145/1865841.1865865,2010,GD,1
10.1145/1865841.1865865,2010,TVCG,1
10.1145/1865841.1865865,2010,InfoVis,2
10.1145/1865841.1865865,2010,SIGGRAPH,1
10.1145/1865841.1865866,2010,LNCS,1
10.1145/1865841.1865866,2010,,14
10.1145/1865841.1865866,2010,WWW,2
10.1145/1865841.1865866,2010,JVLC,1
10.1145/1865841.1865868,2010,TVCG,3
10.1145/1865841.1865868,2010,,13
10.1145/1865841.1865868,2010,CG&A,1
10.1145/1865841.1865868,2010,Information Visualization,3
10.1145/1865841.1865868,2010,SIGKDD,1
10.1145/1865841.1865868,2010,CHI,1
10.1145/1865841.1865869,2010,,27
10.1145/1865841.1865869,2010,SMC,1
10.1145/1865841.1865869,2010,IJHCS,1
10.1145/1865841.1865869,2010,CIKM,1
10.1145/1865841.1865869,2010,KDD,1
10.1145/1865841.1865869,2010,GI,2
10.1145/1865841.1865870,2010,,47
10.1145/1865841.1865870,2010,CHI,2
10.1145/1865841.1865870,2010,VAST,1
10.1145/1865841.1865870,2010,CSCW,1
10.1145/1865841.1865870,2010,LNCS,2
10.1145/1865841.1865870,2010,SIGGRAPH,1
10.1145/1865841.1865870,2010,TOG,1
10.1145/1865841.1865870,2010,GI,2
10.1145/1865841.1865870,2010,IJHCS,1
10.1145/2016656.2016657,2011,,19
10.1145/2016656.2016657,2011,CGF,1
10.1145/2016656.2016657,2011,CHI,1
10.1145/2016656.2016658,2011,,12
10.1145/2016656.2016658,2011,TVCG,1
10.1145/2016656.2016659,2011,,9
10.1145/2016656.2016660,2011,IV,2
10.1145/2016656.2016660,2011,,7
10.1145/2016656.2016660,2011,TVCG,2
10.1145/2016656.2016660,2011,WWW,1
10.1145/2016656.2016660,2011,UIST,2
10.1145/2016656.2016660,2011,CHI,3
10.1145/2016656.2016660,2011,VIS,1
10.1145/2016656.2016661,2011,,8
10.1145/2016656.2016661,2011,InfoVis,1
10.1145/2016656.2016662,2011,,15
10.1145/2016656.2016663,2011,,28
10.1145/2016656.2016663,2011,GI,1
10.1145/2016656.2016664,2011,CHI,12
10.1145/2016656.2016664,2011,UIST,3
10.1145/2016656.2016664,2011,,9
10.1145/2016656.2016665,2011,,29
10.1145/2016656.2016666,2011,,17
10.1145/2016656.2016667,2011,TVCG,3
10.1145/2016656.2016667,2011,,8
10.1145/2016656.2016667,2011,JVLC,1
10.1145/2016656.2016667,2011,InfoVis,2
10.1145/2016656.2016667,2011,Information Visualization,1
10.1145/2016656.2016667,2011,IV,1
10.1145/2016656.2016667,2011,UIST,1
10.1145/2016656.2016667,2011,VIS,1
10.1145/2016656.2016667,2011,TOG,1
10.1145/2016656.2016668,2011,,29
10.1145/2016656.2016668,2011,Information Visualization,1
10.1145/2016656.2016668,2011,InfoVis,1
10.1145/2016656.2016669,2011,,22
10.1145/2016656.2016670,2011,,24
10.1145/2016656.2016671,2011,,50
10.1145/2016656.2016671,2011,CHI,1
10.1145/2016656.2016672,2011,TVCG,2
10.1145/2016656.2016672,2011,,17
10.1145/2016656.2016672,2011,Information Visualization,3
10.1145/2016656.2016672,2011,CG&A,1
10.1145/2016656.2016672,2011,IV,1
10.1145/2016656.2016672,2011,InfoVis,1
10.1145/2016656.2016672,2011,CHI,1
10.1145/2397696.2397697,2012,,22
10.1145/2397696.2397698,2012,,14
10.1145/2397696.2397698,2012,InfoVis,1
10.1145/2397696.2397698,2012,CG&A,1
10.1145/2397696.2397698,2012,LNCS,1
10.1145/2397696.2397698,2012,TVCG,2
10.1145/2397696.2397699,2012,,12
10.1145/2397696.2397699,2012,VIS,1
10.1145/2397696.2397699,2012,InfoVis,2
10.1145/2397696.2397700,2012,,23
10.1145/2397696.2397701,2012,,38
10.1145/2397696.2397701,2012,CIKM,1
10.1145/2397696.2397702,2012,,7
10.1145/2397696.2397702,2012,TVCG,2
10.1145/2397696.2397703,2012,,15
10.1145/2397696.2397704,2012,TVCG,1
10.1145/2397696.2397704,2012,,31
10.1145/2397696.2397705,2012,,9
10.1145/2397696.2397706,2012,,12
10.1145/2397696.2397706,2012,VIS,1
10.1145/2397696.2397707,2012,,31
10.1145/2397696.2397708,2012,,12
10.1145/2397696.2397709,2012,,13
10.1145/2397696.2397710,2012,,16
10.1145/2397696.2397711,2012,,15
10.1145/2397696.2397712,2012,GD,1
10.1145/2397696.2397712,2012,,8
10.1145/2397696.2397712,2012,JVLC,1
10.1145/2493102.2493103,2013,,33
10.1145/2493102.2493103,2013,GI,2
10.1145/2493102.2493104,2013,,15
10.1145/2493102.2493104,2013,TVCG,1
10.1145/2493102.2493104,2013,VIS,1
10.1145/2493102.2493105,2013,,25
10.1145/2493102.2493106,2013,,20
10.1145/2493102.2493106,2013,GI,2
10.1145/2493102.2493107,2013,,22
10.1145/2493102.2493108,2013,,21
10.1145/2493102.2493109,2013,,17
10.1145/2493102.2493109,2013,VIS,1
10.1145/2493102.2493109,2013,TOG,1
10.1145/2493102.2493110,2013,,17
